Name,Category,Website,,,City,Latitude,Longitude,,Comments,"NOSuggested search term, if any"
Antikvariát Knihy z podkrovia,bookstore,http://www.knihyzpodkrovia.sk/,,,Trenčín,48.8908332,18.0367078,,,
Art Centrum Synagóga,venue_and_event_space,https://www.synagogatrencin.sk/sk,,,Trenčín,48.894543,18.039615,,,
Artkino Metro,cinema,http://www.lampart.sk/ ,,,Trenčín,48.8944968,18.0409745,,,
Atrium pod Mestskou Vežou,community_gardens,https://trencin.sk/aktuality/atrium-pod-mestskou-vezou-v-novom-sate/ ,,,Trenčín,48.893929,18.040484,,,
Aurelius Quintet,jazz_and_blues,http://www.aureliusq.sk,,,Trenčín,48.896733,18.045757,,,
Café ATRIO,music_venue,https://www.facebook.com/ATRIOTN3/?locale=sk_SK  ,,,Trenčín,48.894529,18.041182,,,
Café Sládkovič,music_venue,https://www.facebook.com/cafesladkovic/?locale=sk_SK ,,,Trenčín,48.895647,18.043113,,,
Centrum detí a rodiny Živá voda,community_services_non_profits,http://www.ziva-voda.eu/,,,Trenčín,48.8976168,18.0333748,,,
Centrum voľného času,community_services_non_profits,https://cvctn.edupage.org/,,,Trenčín,48.870639,18.046069,,,
Cinemax Trenčín,cinema,http://www.cine-max.sk/?city=tn ,,,Trenčín,48.8905629,18.0566883,,,
Coffee Sheep - Vzletná terasa pod hradom,music_venue,https://www.coffeesheep.sk/nase-miesta/terasa/ ,,,Trenčín,48.894649,18.042909,,,
Comics Bugle,comic_books_store,http://www.comicsbugle.com/,,e-shop only,Trenčín,48.8885933,18.0310534,,,
Čerešňový sad - lesopark Brezina,community_gardens,https://visit.trencin.sk/lesopark-brezina-2/,,,Trenčín,48.892399,18.044186,,,
Čierne na bielom,bookstore,http://www.ciernenabielom.sk/,,e-shop only,Trenčín,48.9106356,18.0895762,,,
Deadred Records,record_label,https://deadred.sk/,,,Trenčín,48.87318,18.040382,,,
