Name,Website,Latitude,Longitude,ORG_City,City,Comments,"Suggested search term, if any",autor wpisu,Corrected cities. Org city as is. New column City where all is set to Gdańsk Liistamo
B90,https://www.b90.pl/,54.364797539123856,18.648362468941965,Gdańsk,Gdańsk,,culture organization,JZ,
Layup - Galeria sztuki miejskiej ,https://layupgaleria.pl,54.36453653621322,18.645764840106587,Gdańsk,Gdańsk,,art_gallery,IW,
HUBA,https://100cznia.pl/huba/,54.363936692622694,18.646931213118435,Gdańsk,Gdańsk,,,IW,
Grid Arthub,https://gridarthub.pl,54.36458029249077,18.6456790094242,Gdańsk,Gdańsk,,,IW,
MORZE.art,https://www.instagram.com/morze.art/,54.47394796313825,18.557262753605475,Gdynia,Gdańsk,"Dodaje, bo widzę, że w T4 nie usunęliście miejsc z Gdyni, a tego tam nie ma, ale w razie czego śmiało można wyrzucić (to jest galeria i pracownia sitodruku w TuBazie, jest działa dosyć niezależnie)",,IW,
Plenum ,https://www.plenumspace.com,54.36478999355555,18.64827211127144,Gdańsk,Gdańsk,,,IW,
Centrum Dolna Brama ,Centrum Dolna Brama | Gdansk,54.3407003360704,18.6476414266115,Gdańsk,Gdańsk,,,IW,
Pracownia Sztuki,https://www.facebook.com/p/Pracownia-sztuki-100081595726209/,54.422427754495075,18.576140613806068,Gdańsk,Gdańsk,,,IW,
Lawendowa 8,https://www.instagram.com/lawendowa_8/,54.35294250811708,18.652788371455838,Gdańsk,Gdańsk,"Wiem, że to jest kawiania, ale mają koncerty, jakieś drobne wystawy, wernisaże + wokół Lawendowej jest zbudowana dosyć silna społeczność",,IW,
Dwa wypały,https://www.instagram.com/dwa.wypaly/,54.38251714334595,18.61483505360169,Gdańsk,Gdańsk,Szkoła ceramiki + otwarta pracownia,arts_and_crafts,IW,
Dom Sztuki,https://gak.gda.pl/placowki/dom-sztuki/,54.360820521915954,18.71097312661247,Gdańsk,Gdańsk,,,IW,
GAK Plama,https://gak.gda.pl/placowki/plama/,54.39247813908538,18.591543353601914,Gdańsk,Gdańsk,,,IW,
GAK Winda ,https://gak.gda.pl/placowki/winda/,54.3867351707681,18.628530997778245,Gdańsk,Gdańsk,,,IW,
Zespół Pieśni i Tańca Gdańsk GAK,https://gak.gda.pl/placowki/zespol-piesni-i-tanca-gdansk/,54.325647322648535,18.634038173294815,Gdańsk,Gdańsk,,,IW,
Teatr GAK,https://gak.gda.pl/placowki/teatr-gak/,54.321844520693304,18.627753984281355,Gdańsk,Gdańsk,,theatre,IW,
Dom Sąsiedzki Gościnna Przystań (Orunia),https://www.facebook.com/GoscinnaPrzystan/?locale=pl_PL,54.32431789986251,18.634030255446184,Gdańsk,Gdańsk,,community_centre,IW,
Klub Sąsiedzki GARAŻ,https://www.facebook.com/klubsasiedzkiGARAZ/?locale=pl_PL,54.43544792531822,18.465740157986524,Gdańsk,Gdańsk,,community_centre,IW,
Dom Sąsiedzki Dom Zarazy,https://www.facebook.com/DomZarazy/?locale=pl_PL,54.409122355064675,18.555901867096715,Gdańsk,Gdańsk,,community_centre,IW,
Dom Sąsiedzki w Nowym Porcie,https://www.instagram.com/domsasiedzkiwnowymporcie/,54.399259048201536,18.664968940108253,Gdańsk,Gdańsk,,community_centre,IW,
Dom Sąsiedzki Zakopianka,https://fundacjarc.org.pl/ds-zakopianka/,54.349787478890796,18.62111172661196,Gdańsk,Gdańsk,,community_centre,IW,
Sztuka Wyboru,https://sztukawyboru.eu,54.38138734280017,18.590498526613196,Gdańsk,Gdańsk,,,IW,
Kawiarnia Filmowa w Starym Kadrze,https://www.instagram.com/wstarymkadrze/,54.35241025152533,18.652840502138215,Gdańsk,Gdańsk,,cinema,IW,
Fala Nowej Kultury,https://falanowejkultury.pl,54.52177415000484,18.543967911278035,Gdynia,Gdańsk,,,IW,
Dom Sąsiedzki w Pałacu,https://www.facebook.com/domsasiedzkiwpalacu/?locale=pl_PL,54.37658921054305,18.60190839777783,Gdańsk,Gdańsk,,community_centre,IW,
Gąszcz,https://www.instagram.com/gaszcz.karolinagrynder/,54.4086826438632,18.553948615649162,Gdańsk,Gdańsk,,arts_and_crafts,IW,
Piana Artspace,https://www.instagram.com/piana.artspace/,54.5143948179095,18.5417651829936,Gdynia,Gdańsk,,arts_and_crafts,IW,
Palma Pracownia,https://pracowniapalma.pl/,54.3561195818385,18.6618530993334,Gdańsk,Gdańsk,,arts_and_crafts,IW,
Teatr Wybrzeże - Stara Apteka,https://teatrwybrzeze.pl/,54.351188837319334,18.64886202661198,Gdańsk,Gdańsk,,theatre,IW,
Teatr Wybrzeże - Scena Malarnia,https://teatrwybrzeze.pl/,54.35124677242019,18.648970797776716,Gdańsk,Gdańsk,,theatre,IW,
Dom Kultury PSM Przymorze,https://www.facebook.com/p/Dom-Kultury-PSM-Przymorze-100069659936061/?locale=pl_PL,54.40600328614323,18.58516984195553,Gdańsk,Gdańsk,,community_centre,IW,
PATIO ASP,https://patioasp.pl,54.35074442081653,18.64895391150251,Gdańsk,Gdańsk,,,IW,
Zbrojownia Sztuki - Sala Wystawiennicza ASP,https://www.zbrojowniasztuki.pl/,54.35074442081653,18.64895391150251,Gdańsk,Gdańsk,,,IW,
Galeria Grafika,"https://asp.gda.pl/wydzialy/wydzial-grafiki/galeria-grafika,1288",54.348725406342126,18.655081935582352,,Gdańsk,,art_gallery,IW,
Klubokawiarnia Langfuhr,https://www.instagram.com/lang.fuhr/,,,Gdańsk,Gdańsk,,,IW,
Drukarnia Cafe,https://www.instagram.com/drukarniacafe/?hl=pl,,,,Gdańsk,,,iw,
Luis Cafe,https://www.instagram.com/cafeluis_gdansk/,,,,Gdańsk,,,IW,
Atelier Biscuit ceramika ,https://www.atelierbiscuit.art,,,,Gdańsk,,,IW,
Lepiej ceramika ,https://www.instagram.com/lepiej_ceramika/,,,,Gdańsk,,,IW,
Wela Ont ceramika ,https://welaont.pl,,,,Gdańsk,,,IW,
Loft Pub,https://www.facebook.com/loftpub.gdansk/,54.353325,18.649635,,Gdańsk,,"pub, art gellery, perfomances",,
Fundacja Instytut Juliusza Slowackiego,Fundacja Instytut Juliusza Słowackiego – Juliusz Slowacki Institute,54.31263,18.603185,,Gdańsk,,culture organisation ,MC,
Fundacja im. Jacka Kaczmarskiego,Fundacja im. Jacka Kaczmarskiego,54.424042,18.462923,,Gdańsk,,culture organisation ,MC,
ICS Instytut Cybernetyki Sztuki,https://www.facebook.com/instytutcybernetykisztuki/?locale=pl_PL,54.432267,18.474461,,Gdańsk,,art gallery,MC,
Fundacja Kultury Zbliżenia ,http://www.fkz.org.pl/,54.378172,18.605427,,Gdańsk,,culture organisation ,MC,
Towarzystwo Polska – Niemcy w Gdańsku | Towarzystwo Polska – Niemcy w Gdańsku,,54.389523,18.649241,,Gdańsk,,culture organisation ,MC,
Instytut Kultury Miejskiej,https://ikm.gda.pl/,54.35038971,18.64475168,Gdańsk,Gdańsk,,culture organisation ,JZ,
Olivia Business Centre,https://www.oliviacentre.com/,54.40353947,18.57033648,Gdańsk,Gdańsk,,community centre,JZ,
