name,category,website,delete,comments,city,lat,lon
3City.Media,mass_media,https://3city.media/,,main local interent media news,Gdańsk,"54,3549714","18,5944475"
Aesir Media Vikings,movie_television_studio,https://www.aesir.tv/,,,Gdańsk,"54,4046753","18,5762288"
Akademicki Chór Politechniki Gdańskiej,choir,http://chor.pg.edu.pl/,,,Gdańsk,"54,370798","18,6153593"
Alfa Warehouses,print_media,https://alfamagazyn.pl/,2,just a warehouse,Gdańsk,"54,340591","18,71905"
Amadeus - Akademia grania i muzykowania,music_school,http://www.amadeus-art.pl/index.php,,,Gdańsk,"54,40594","18,58504"
American Corner Gdansk,library,http://www.wbpg.org.pl/american_corner_gdansk,,,Gdańsk,"54,3512741","18,6439375"
Amfiteatr Orana - Park Oruński,theatre,Ingen webbplats,2,looks like playground,Gdańsk,"54,32146","18,6296"
Amfiteatr Orunia,theaters_and_performance_venues,Ingen webbplats,2,park????,Gdańsk,"54,3210385","18,6234453"
Antałki,print_media,https://antalki.com/,2,logistic company ,Gdańsk,"54,3927","18,60689"
Arbisz Jewellery,fashion,https://www.jubilerarbiszgdansk.pl/,,jewlery shop ,Gdańsk,"54,3503149","18,6523855"
Archiwum Państwowe w Gdańsku,history_museum,http://www.gdansk.ap.gov.pl,,state archive,Gdańsk,"54,357932","18,648114"
art24.pl,graphic_designer,http://art24.pl/,,,Gdańsk,"54,350212","18,6236382"
ASICS,designer_clothing,https://www.asics.com/,2,sport clothes shops,Gdańsk,"54,3183109","18,5520243"
Aspect,graphic_designer,https://aspect-creative.com/,,,Gdańsk,"54,3825638","18,6102233"
Ateco,fashion,Ingen webbplats,2,fire protection clothes ,Gdańsk,"54,3246816","18,6237138"
Avocado Pracownia Twórcza,graphic_designer,http://www.avocadopt.com/,,,Gdańsk,"54,3586189","18,6834997"
Azazyl Film,movie_television_studio,http://azazylfilm.pl/,,,Gdańsk,"54,3468052","18,5625006"
B85 Studio,movie_television_studio,https://www.b85studio.pl/,,,Gdańsk,"54,4044563","18,5817924"
B90 Club,music_venue,http://b90.pl/,,,Gdańsk,"54,3645896","18,6483604"
Balticprint,screen_printing_t_shirt_printing,http://www.balticprint.pl/,,,Gdańsk,"54,381289","18,6298092"
Banqsoft,vinyl_record_store,https://www.banqsoft.com/,,,Gdańsk,"54,386419","18,4652626"
Biblioteczka Osowska,library,Ingen webbplats,2,shop,Gdańsk,"54,4251194","18,4740953"
Biblioteczka w Kasztanowcu,library,Ingen webbplats,,community book box,Gdańsk,"54,2850066","18,6381361"
Biblioteka Akademii Muzycznej,library,http://biblioteka.amuz.gda.pl/,,,Gdańsk,"54,344738","18,6626996"
Biblioteka Gdańskich Szkół Autonomicznych,library,Ingen webbplats,2,"House of Literature under contructions (opens in 2027, maybe)",Gdańsk,"54,3559474","18,6562031"
Biblioteka Główna Uniwersytetu Gdańskiego,library,http://ug.edu.pl/uniwersytet/struktura_ug/library_university_gdansk,,,Gdańsk,"54,3971352","18,5745654"
Biblioteka Historii Kultury,library,https://etnologia.ug.edu.pl/biblioteka_antropologiczna,,,Gdańsk,"54,3537087","18,6474554"
Biblioteka Lawendowa,library,Ingen webbplats,,Lawendowa Library,Gdańsk,"54,3267329","18,5676964"
Biblioteka Manhattan,library,http://www.bibliotekamanhattan.pl,,,Gdańsk,"54,3772964","18,6072806"
Biblioteka Morskiej Szkoły Podstawowej w Gdańsku,library,"http://morskaszkola.pl/biblioteka,947,pl.html",,,Gdańsk,"54,3322802","18,5972196"
Biblioteka Oliwska,library,http://www.wbpg.org.pl/filia_nr_2,,,Gdańsk,"54,4097567","18,5642433"
Biblioteka Pilotów,library,Ingen webbplats,,Zaspa Library ,Gdańsk,"54,3924723","18,5970618"
Biblioteka pod Kotem i Mysza,library,http://www.wbpg.org.pl/filia_nr_7,,,Gdańsk,"54,383422","18,6134176"
Biblioteka pod Żółwiem,library,http://www.wbpg.org.pl/biblioteka_pod_zolwiem,,,Gdańsk,"54,3501967","18,6560166"
Biblioteka Politechniki Gdańskiej / Gdańsk Tech Library,library,http://pg.edu.pl/biblioteka-pg/,,,Gdańsk,"54,37161","18,61926"
"Biblioteka Publiczna nr.26, Gospody 3b",library,Ingen webbplats,,Misa Ceramika. Potery desing shop,Gdańsk,"54,4207903","18,5839392"
"Biblioteka Społeczna Stowarzyszenia ""Przyjazne Pomorze""",library,http://www.bibliotekapp.pl/,,,Gdańsk,"54,3605409","18,7119011"
Biblioteka Topolówka,library,http://lo3.edu.gdansk.pl/pl,,,Gdańsk,"54,3773","18,59564"
Biblioteka Ukraińska w Gdańsku,library,Ingen webbplats,,community centre,Gdańsk,"54,4040931","18,56505"
Biblioteka Uniwersytetu Gdańskiego,library,http://www.bg.ug.edu.pl/,,,Gdańsk,"54,3971486","18,5744551"
Biblioteka Uniwersytetu WSB Merito w Gdańsku,library,https://biblioteka.gdansk.merito.pl/?bID=93,,,Gdańsk,"54,3906","18,58492"
Biblioteka Zssims,library,Ingen webbplats,,school library ,Gdańsk,"54,41974","18,57289"
BigLetter - Biuro Tłumaczeń Gdańsk - Translation Office in Gdansk,vinyl_record_store,http://www.bigletter.pl/,2,translation office,Gdańsk,"54,403294","18,56978501"
