name,category,website,delete,comments,city,lat,lon
Apple Store,arcade,Ingen webbplats,2,,Madrid,"40,45676","-3,69476"
Apuestas Deportivas RETAbet Alcalá,arcade,https://madrid.retabet.es/,2,,Madrid,"40,43283","-3,64903"
Apuestas Deportivas RETAbet Bravo Murillo,arcade,https://madrid.retabet.es/,2,,Madrid,"40,462","-3,69753"
Apuestas Deportivas RETAbet Carabanchel,arcade,https://madrid.retabet.es/,2,,Madrid,"40,38892","-3,73903"
Apuestas Deportivas RETAbet Extremadura,arcade,https://madrid.retabet.es/,2,,Madrid,"40,4120548","-3,7330222"
Apuestas Deportivas RETAbet Usera,arcade,https://madrid.retabet.es/,2,,Madrid,"40,38594","-3,70415"
Apuestas Deportivas RETAbet Vallecas,arcade,http://www.madrid.retabet.es/,2,,Madrid,"40,3940443","-3,6610719"
Apuestas Deportivas RETAbet Villaverde,arcade,https://madrid.retabet.es/,2,,Madrid,"40,3459971","-3,7117729"
Arcade Premier,arcade,http://www.arcadepremier.es/,2,,Madrid,"40,4387655","-3,7101388"
Artemática,arcade,http://www.artematica.es,2,,Madrid,"40,4055709","-3,6974633"
Asociación de antiguos alumnos ETSIS Telecomunicación/EUITT UPM-Campus Sur,arcade,http://www.euitt.upm.es/redsocial/antiguos_alumnos,2,,Madrid,"40,4078419","-3,7019777"
Cervecería  Arcade Corazón De María,arcade,https://www.instagram.com/arcadecerveceria/,2,,Madrid,"40,4456979","-3,6670229"
CityPlay Madrid,arcade,http://www.cityplay.es/,,,Madrid,"40,4630287","-3,6362275"
Codere Apuestas Corner en Las Vegas,arcade,https://www.codere.es/,2,,Madrid,"40,3957641","-3,7666229"
Codere Apuestas Corner en Madrid Juegos,arcade,https://www.codere.es/,2,,Madrid,"40,4354628","-3,6569811"
Codere Apuestas Corner en Madrid Juegos,arcade,https://www.codere.es/,2,,Madrid,"40,4366818","-3,6407198"
Codere Apuestas Corner en Salón de juegos Las Vegas,arcade,https://www.codere.es/,2,,Madrid,"40,3758124","-3,7522987"
Codere Apuestas Deportivas,arcade,https://www.codere.es/,2,,Madrid,"40,4233924","-3,6554361"
Expometro Retiro,arcade,Ingen webbplats,,,Madrid,"40,4212847","-3,6839182"
GameFest,arcade,Ingen webbplats,2,,Madrid,"40,466329","-3,618037"
Kikirikí,arcade,Ingen webbplats,2,,Madrid,"40,4168698","-3,7128665"
Pinball Madrid,arcade,http://www.pinballmadrid.com/,2,,Madrid,"40,4503","-3,70183"
Platinum,arcade,Ingen webbplats,2,,Madrid,"40,39423","-3,66661"
Puerto de Balbaran,arcade,Ingen webbplats,2,,Madrid,"40,3844763","-3,6697351"
Raquel Armijo,arcade,http://www.elplanetadelosninos.es/,,,Madrid,"40,388","-3,74284"
Salon de Juegos Ayala,arcade,https://twitter.com/salon_ayala,2,,Madrid,"40,4376769","-3,6376528"
Vr kids/Virtual Family,arcade,https://www.virtualfamily.es/,2,,Madrid,"40,39853","-3,70496"
Adam Bresnick arquitectos,architect,http://adambresnick.com/,2,,Madrid,"40,4275155","-3,6982848"
Adyg de Proyectos - Arquitecto,architect,https://adyg.es/,2,,Madrid,"40,4587218","-3,693826"
ae3 arquitectura madrid,architect,https://ae3arquitectura.com/,2,,Madrid,"40,4258281","-3,6945018"
AIC,architect,https://www.aicinsonorizaciones.com/,2,,Madrid,"40,4306189","-3,6653616"
Ananas arquitectura,architect,https://ananasarquitectura.ueniweb.com/,2,,Madrid,"40,4409269","-3,7071347"
Antonio Bustos García de Castro,architect,,2,,Madrid,"40,45729763","-3,649034423"
ApuntoArquitectura,architect,http://www.apuntoarquitectura.com/,2,,Madrid,"40,4005511","-3,7011442"
Archways,architect,http://www.archways.es/,2,,Madrid,"40,43596","-3,65675"
ARQit ESTUDIO,architect,,2,,Madrid,"40,4097884","-3,7171702"
Arquitecto en Madrid: Joaquin Puget | Interiorismo & Diseño,architect,https://joaquinpuget.com/,2,,Madrid,"40,3972642","-3,6918055"
Arquitectos - Estudio Lam,architect,https://arquitectoslam.com/,2,,Madrid,"40,43595","-3,65449"
Art Arquitectura,architect,http://www.art-arquitectura.com/,2,,Madrid,"40,41348256","-3,709202029"
Aycal,architect,http://www.aycal.com/,2,,Madrid,"40,46242837","-3,639189293"
Bayon Arquitectos,architect,,2,,Madrid,"40,42950821","-3,69887805"
Beauty And The Bit - Architectural Visualization Studio,architect,https://www.beautyandthebit.com/,2,,Madrid,"40,4178331","-3,6646962"
BOV Estudio Arquitectura Madrid,architect,https://bovestudio.com/,2,,Madrid,"40,42490162","-3,695098072"
BRUNO MIGUELEZ // Estudio de Arquitectura,architect,http://www.brunomiguelez.es/,2,,Madrid,"40,44332","-3,69904"
Carrillongo Arquitectos,architect,http://www.carrillongo.es/,2,,Madrid,"40,42979","-3,65443"
Certificadosbaratos,architect,https://www.certificadosbaratos.es/,2,,Madrid,"40,4414706","-3,7158959"
CIMBRA ARQUITECTOS,architect,http://www.cimbraarquitectos.com/,2,,Madrid,"40,471995","-3,6983912"
CMYK Arquitectos,architect,https://cmyk-arq.es/,2,,Madrid,"40,4277688","-3,7186232"
darro18 arquitectos,architect,http://darro18.com/,2,,Madrid,"40,43664","-3,62305"
DmasC Arquitectos,architect,https://dmasc.es/,2,,Madrid,"40,437985","-3,7010742"
Docrys & DC I Barrio Salamanca,architect,http://www.docrysdc.es/,2,,Madrid,"40,421186","-3,6790589"
Docrys & DC I Conde Orgaz,architect,https://www.docrysdc.es/,2,,Madrid,"40,459196","-3,626161"
Esteco Estudio de Arquitectura,architect,https://esteco.es/,2,,Madrid,"40,4693604","-3,6534324"
Estudio Arquitectura - Reformas Arindi,architect,https://www.arindi.es/,2,,Madrid,"40,4068855","-3,682618"
Estudio de Arquitectura,architect,,2,,Madrid,"40,44162","-3,697"
Estudio de Arquitectura de Interiores,architect,https://www.dgos.es/,2,,Madrid,"40,43059363","-3,66588251"
Estudio Espinosa Maquetas,architect,http://espinosamaquetas.com/,2,,Madrid,"40,43810696","-3,67603113"
Genil Arquitectura ,architect,https://www.genilarquitectura.com/,2,,Madrid,"40,44002414","-3,661434472"
habitarq estudio,architect,http://www.habitarqestudio.com/,2,,Madrid,"40,4474316","-3,715712"
"Hellen Halls, arquitecto técnico e interiorista",architect,https://hellenhalls.es/,2,,Madrid,"40,42752625","-3,7160279"
Hervás Arquitectos,architect,http://www.hervasarquitectos.com/,2,,Madrid,"40,4660898","-3,6758325"
hexatec estudio y gestión de edificación ,architect,http://www.hexatec.es/,2,,Madrid,"40,4311792","-3,6915244"
Hollis,architect,https://www.hollisglobal.com/,2,,Madrid,"40,41892","-3,71071"
HYMB LAR EUROPA,architect,https://hymb.net/,2,,Madrid,"40,4751905","-3,72913017"
i'm design,architect,http://www.im-design.studio/,2,,Madrid,"40,4533356","-3,689517"
I&D arquitectos,architect,http://www.id-arquitectos.com/,2,,Madrid,"40,40646554","-3,693449974"
ITE Arquitectos,architect,http://www.ite-arquitectos.com/,2,,Madrid,"40,4057312","-3,673233509"
Ite ayuntamiento 2000,architect,http://www.iteayuntamiento2000.com/,2,,Madrid,"40,45376205","-3,653858662"
Jerez Arquitectura y Urbanismo S.l,architect,https://www.jerezarquitectura.es/,2,,Madrid,"40,47665847","-3,673165336"
KUBIKOSTUDIO ARQUITECTOS,architect,https://kubikostudio.com/,2,,Madrid,"40,4213404","-3,7182281"
Laz Estudio de Arquitectura,architect,http://www.lazarquitectura.com/,2,,Madrid,"40,42886","-3,70546"
Life Studio Madrid,architect,,2,,Madrid,"40,422669","-3,694755"
Livener,architect,https://livener.es/,2,,Madrid,"40,4235492","-3,67977"
Mediciones Acusticas,architect,https://www.allpe.com/acustica/ingenieria-acustica/mediciones-acusticas/,2,,Madrid,"40,512523","-3,6728626"
Mizuage Arquitectura,architect,http://mizuage.es/,2,,Madrid,"40,41173594","-3,698314092"
"MONTORO ARQUITECTOS, P.",architect,http://www.montoroarquitectos.com/,2,,Madrid,"40,4234067","-3,6729667"
MooMar Arquitectura,architect,https://moomar.es/,2,,Madrid,"40,46762207","-3,68956206"
MRS Constructores,architect,https://mrsconstructores.com/,2,,Madrid,"40,4308675","-3,6309235"
MRS Constructores | Constructora en Madrid,architect,https://mrsconstructores.com/,2,,Madrid,"40,4377964","-3,6317118"
Munoz Barcia Arquitectos,architect,https://www.munozbarcia.com/,2,,Madrid,"40,420386","-3,7043706"
MV ARQUITECTURA,architect,https://www.mvarquitectura.es/,2,,Madrid,"40,45786576","-3,69927978"
OIKOS AUREA  . .,architect,http://www.fariniarquitectos.com/,2,,Madrid,"40,42633","-3,69884"
Ortega Fuentes Slp,architect,http://www.ortegafuentes.es/,2,,Madrid,"40,429982","-3,7214953"
palotes arquitectura,architect,http://palotesarquitectura.es/,2,,Madrid,"40,4364413","-3,62281948"
Perito arquitecto Madrid - Luis Aguilar Romanos,architect,http://www.peritoarquitectomadrid.com/,2,,Madrid,"40,40436172","-3,667638302"
Rg Arquitectos,architect,http://www.ardevihispania.com/,2,,Madrid,"40,39760352","-3,716223645"
"Sannas, Asociación de empresas de Triple Balance",architect,https://www.sannas.eu/,2,,Madrid,"40,4277322","-3,7188631"
Savills Spain,architect,http://www.savills.es/,,,Madrid,"40,447512","-3,6919612"
SKECHERS Retail,architect,https://www.skechers.es/store-locator.html,2,,Madrid,"40,41996","-3,70387"
Sobre 2,architect,http://sobredos.com/,2,,Madrid,"40,43645477","-3,622838259"
Studio PDP,architect,http://www.studiopdp.com/,,,Madrid,"40,4334224","-3,703899"
The Blue Lab Real Estate,architect,https://thebluelab.net/real-estate/,2,,Madrid,"40,4516655","-3,6911484"
Uriarte Arquitectura,architect,http://www.uriartearquitectura.com/,2,,Madrid,"40,4366888","-3,686583"
Valentín Merino Arquitectos P.,architect,http://www.vmarq.com/,2,,Madrid,"40,4101603","-3,671127572"
VALENTIN RODRIGUEZ ARQUITECTOS,architect,https://www.valentinrodriguezarquitectos.com/,2,,Madrid,"40,4599061","-3,7782072"
VARO ARQUITECTOS,architect,https://www.varo-arquitectos.com/,2,,Madrid,"40,42795497","-3,69506964"
ZELSIOR,architect,https://zelsior.es/,2,,Madrid,"40,4492874","-3,6958774"
-estudio.entresitio-,architectural_designer,http://www.entresitio.com/,2,,Madrid,"40,4200443","-3,7042056"
1auno Proyectos de Arquitectura y Construccion,architectural_designer,https://linktr.ee/1auno_bim,2,,Madrid,"40,4172108","-3,7115893"
2 a+i Ingeniería y Arquitectura,architectural_designer,http://www.2amasi.es/,2,,Madrid,"40,39738","-3,71694"
Abarrategui,architectural_designer,http://www.abarrategui.es/,2,,Madrid,"40,4382051","-3,6931673"
AbV Arquitectos,architectural_designer,http://www.abvarquitectos.es/,2,,Madrid,"40,5049618","-3,7043964"
Acglobalarquitectos,architectural_designer,https://www.acglobalarquitectos.com/,2,,Madrid,"40,3883127","-3,6898844"
ACTEMA Arquitectura,architectural_designer,Ingen webbplats,2,,Madrid,"40,4049646","-3,6976281"
Ad Arquitectura Urbana,architectural_designer,http://adarquitecturaurbana.com/,2,,Madrid,"40,4220132","-3,7090563"
Aedific,architectural_designer,http://www.aedific.es/,2,,Madrid,"40,4292","-3,66416"
Agora Arquitectura,architectural_designer,http://agoraarquitectura.es/,2,,Madrid,"40,4785129","-3,631565"
Aidhos,architectural_designer,http://www.aidhos.com/,2,,Madrid,"40,4239943","-3,6869767"
Alberich - Rodriguez Arquitectos,architectural_designer,http://www.alberich-rodriguez.com/,2,,Madrid,"40,4120225","-3,6679691"
Alfaro y de Castro,architectural_designer,http://www.alfaroydecastro.com/,2,,Madrid,"40,48855","-3,6714"
Álvarez Sotelo Arquitectos,architectural_designer,http://www.alvarezsotelo.com/,2,,Madrid,"40,4380224","-3,6814928"
Amaide. Rehabilitación y Eficiencia Energética,architectural_designer,http://www.amaide.es/,2,,Madrid,"40,4130036","-3,7181862"
Ammplio,architectural_designer,http://www.ammplio.com/,2,,Madrid,"40,4165735","-3,7010519"
Antana Arquitectura y Construcción,architectural_designer,http://www.antana.es/,2,,Madrid,"40,4265449","-3,6797802"
ApuntoArquitectura,architectural_designer,http://www.apuntoarquitectura.com/,2,,Madrid,"40,4005092","-3,7011502"
Arbeco Arquitectura,architectural_designer,http://www.arbeco.es/,2,,Madrid,"40,439632","-3,7120024"
Arete Arquitectura Técnica,architectural_designer,http://www.arete-at.com,,,Madrid,"40,37943","-3,79011"
Árgola Arquitectos,architectural_designer,http://www.argolaarquitectos.com/,,,Madrid,"40,4305677","-3,7031192"
Arkitools,architectural_designer,http://www.arkitools.com/,2,,Madrid,"40,4120727","-3,675474"
Aroca Baudet Arquitectos,architectural_designer,http://www.arocabaudet.com,2,,Madrid,"40,41182","-3,6940499"
ArqMex JM,architectural_designer,Ingen webbplats,2,,Madrid,"40,445879","-3,690598"
