name,category,website,delete,comments,city,lat,lon,
FFAR Forum för arkitektur,architectural_designer,http://www.ffar.se/,1,Praesidium???,Stockholm,"59,3088186","18,0813641",
ccap,arts_and_entertainment,http://www.ccap.se/,1,praesidium?,Stockholm,"59,3492257","18,0626517",
Cyklopen,arts_and_entertainment,http://www.cyklopen.se/,1,praesidium? ,Stockholm,"59,259175","18,040922",
Husby-gård,arts_and_entertainment,http://www.husbygard.nu,1,Praesidium?,Stockholm,"59,40719","17,9197712",
Kastanjegården,arts_and_entertainment,Ingen webbplats,1,praesidia? Kolla med Per vad som händer på Kastanjegården,Stockholm,"59,2593153","18,0952345",
Slipvillan,arts_and_entertainment,http://www.slipvillan.org/,1,praesidia?,Stockholm,"59,3212209","18,0377396",
Sprallen,arts_and_entertainment,https://m.facebook.com/sprallendansbana/,1,Praesidia? dans,Stockholm,"59,30378","18,0722105",
Spånga Folkan,arts_and_entertainment,https://spangafolkan.se/,1,praesidia?,Stockholm,"59,373071","17,8994659",
Larrys Corner,bookstore,http://www.larryscorner.se,1,"Har konsert- och utställningsverksamhet, filmklubb etc",Stockholm,"59,3092466","18,0673274",
Munnen,community_center,https://munnen.ooo/,1,,Stockholm,"59,280543","18,131588",
Free Flow Sthlm,dance_club,https://www.noden.org/membership,1,praesidia? community meeting place etc,Stockholm,"59,34297","18,11638",
Elektronmusikstudion EMS Stockholm,music_production,http://www.elektronmusikstudion.se,1,important place for the local electro-acoustic music scene,Stockholm,"59,3209077","18,0538197",
Stockholm VR Center,arcade,https://vr-center.se/,2,Closed,Stockholm,"59,2937335","18,0801633",
722 Architects,architect,https://www.block722.com/,2,,Stockholm,"59,336212","18,073596",
Areamätning Areaberäkning i Stockholm / Arkitekt Mikael Hådell,architect,https://areaberakning.se/,2,,Stockholm,"59,325722","17,9917353",
BBH Arkitekter & Ingenjörer,architect,http://www.bbh.se/,2,,Stockholm,"59,31491673","18,05384614",
Stina Larsson Arkitekt,architect,,2,,Stockholm,"59,34448815","18,04488414",
Zynka BIM,architect,https://bim.zynka.se/,2,,Stockholm,"59,3331111","18,057368",
Amneby Forslund Arkitekter,architectural_designer,https://amnebyforslund.se/,2,No web page,Stockholm,"59,3352007","18,0348286",
Arkitektstudio Widjedal Racki AB,architectural_designer,http://www.wrark.se/,2,Based in Trosa,Stockholm,"59,334733","18,081854",
Arkitema,architectural_designer,http://www.arkitema.com,2,Based in Solna,Stockholm,"59,312037","18,058454",
Arklab,architectural_designer,http://www.arklab.se/,2,Seems like a resting company - not much activity,Stockholm,"59,314315","18,056673",
Arthur Sundqvist Arkitekt,architectural_designer,http://www.arthur-sundqvist.se,2,no web page,Stockholm,"59,312561","18,0626392",
"Barkk - byggnadskonst, arkitektur och konst AB",architectural_designer,http://www.byggnadskonst.com,2,No web page,Stockholm,"59,329065","18,0378629",
Berndtsson arkitekter,architectural_designer,http://www.berndtsson.se,2,no web page,Stockholm,"59,348515","18,068467",
BygglovX,architectural_designer,http://www.bygglovx.se/,2,"Based in Umeå, focus on permits",Stockholm,"59,3069128","18,0766296",
Byrån för Arkitektur och Konstruktion Stockholm Hongkong AB,architectural_designer,http://www.stockholmhongkong.com/,2,No web page,Stockholm,"59,3281734","18,0163154",
D2 Arkitektur & Projektledning,architectural_designer,http://d2arkitektur.se/,2,No web page,Stockholm,"59,3145912","18,0577986",
Dahlberg Busnardo,architectural_designer,http://dabuark.se/,2,Based in Nacka,Stockholm,"59,30683","18,07141",
Economy,architectural_designer,http://this-is-economy.com/,2,No web page,Stockholm,"59,31795","18,07678",
Erséus Arkitekter,architectural_designer,http://www.erseus.se,2,Based in Göteborg,Stockholm,"59,31799","18,07593",
Jubile AB,architectural_designer,http://www.jubile.se/,2,Based in Åkersberga,Stockholm,"59,31351","18,08319",
Megaron Arkitekter AB,architectural_designer,https://formaarkitekter.se/om-oss/,2,Verkar ha upphört och gått i i Forma men finns kvar på facebook,Stockholm,"59,3366609","18,0639155",
Millimeter Arkitekter AB,architectural_designer,http://www.millimeter.se/,2,"Double, see row above",Stockholm,"59,34063","18,04839",
MØKT,architectural_designer,https://www.moekt.com/,2,Based in Denmark and have splitted and changed name.,Stockholm,"59,31295","18,06828",
OPI Lab,architectural_designer,Ingen webbplats,2,This is a art and architecture one year course,Stockholm,"59,314312","18,0159381",
Pnthaus,architectural_designer,Ingen webbplats,2,Based in Solna and about permits etc,Stockholm,"59,332116","17,975659",
Projit,architectural_designer,http://www.projit.se/,2,"building engeneering, not architecture. Based on Fiskargatan 8 as several above are too.",Stockholm,"59,3180336","18,0757917",
pS Arkitektur,architectural_designer,http://www.reformark.se/,2,"Interior design, and new name Reform (not pS Arkitektur)",Stockholm,"59,3138376","18,067895",
Refine Design Studio,architectural_designer,http://refinedesignstudio.se/,2,Interior design ,Stockholm,"59,3462006","18,0442661",
Sundell Arkitekter,architectural_designer,http://www.sundellarkitekter.se/,2,"Merged with Witte, see WitteSundell below",Stockholm,"59,3209288","18,0506349",
Sveriges Arkitekter,architectural_designer,http://www.arkitekt.se/,2,Organisation for architects,Stockholm,"59,3340771","18,0901014",
Sveriges Arkitekter Konstfack,architectural_designer,https://www.arkitekt.se/,2,See above,Stockholm,"59,29978","17,9943",
APA Gallery,art_gallery,http://www.apagallery.se/,2,Closed,Stockholm,"59,345172","18,038295",
Area 52,art_gallery,http://www.area52gallery.com/,2,Closed,Stockholm,"59,33983","18,08155",
ARGO Galleri&konstdepå,art_gallery,http://www.argo.se/,2,Blogg,Stockholm,"59,343164","18,035634",
Arkitekterna Modern Art,art_gallery,http://www.arkitekternamodernart.se/,2,Closed,Stockholm,"59,3124625","18,0773238",
Art Concept Store,art_gallery,http://www.artconceptstore.se/,2,Closed,Stockholm,"59,309811","18,081064",
Art Kiss - The International Art Gallery,art_gallery,Ingen webbplats,2,In active,Stockholm,"59,27705","18,1332",
Artbyheart,art_gallery,http://www.artbyheart.se/,2,Individual ,Stockholm,"59,35975","18,09652",
Atelier 123,art_gallery,Ingen webbplats,2,Closed,Stockholm,"59,25306","18,079545",
Atelier Landberg,art_gallery,https://www.atelierlandberg.se/,2,Individual ,Stockholm,"59,3069156","18,0059797",
Ateljè Galleri Bellange,art_gallery,http://www.bellangegalleri.com/,2,Closed,Stockholm,"59,3417542","18,0299596",
Ateljén,art_gallery,Ingen webbplats,2,?,Stockholm,"59,2782446","18,0327208",
Betonggalleriet,art_gallery,http://www.betonggalleriet.se,2,Closed,Stockholm,"59,314897","18,020345",
Bildbunkern,art_gallery,http://www.bildbunkern.se/,2,Closed,Stockholm,"59,33527","18,03107",
C/o Bauer Gallery,art_gallery,http://www.cobauer.com/,2,Individual ,Stockholm,"59,3250619","18,0736362",
C/o Indigo,art_gallery,Ingen webbplats,2,Closed,Stockholm,"59,34192","18,04138",
CloudyBay,art_gallery,http://www.cloudybay.se/,2,Closed,Stockholm,"59,345479","18,051818",
Couture Galleri,art_gallery,http://www.couturegalleri.se/,2,Not relevant,Stockholm,"59,3370898","18,0711898",
Creative Gallery,art_gallery,http://creativecoatings.se/,2,Not relevant,Stockholm,"59,3593375","17,8741683",
