name,category,website,delete,comments,city,lat,lon
13 ESPACIOarte,art_gallery,http://www.13espacioarte.com/,1,,Sevilla,"37,3678432","−5,9601096"
Alarcon Criado,art_gallery,http://www.alarconcriado.com/,1,,Sevilla,"37,3855665","−6,0046212"
Arquemí,art_gallery,https://arquemi.com/,1,,Sevilla,"37,3932148","−5,99381"
Birimbao Arte Contemporáneo,art_gallery,http://www.birimbao.es/ ,1,,Sevilla,"37,3936697","−5,9910755"
Delimbo,art_gallery,http://delimbo.com/,1,,Sevilla,"37,3914623","−5,9910168"
Di Gallery,art_gallery,https://diartgallery.com/,1,,Sevilla,"37,3927465","−5,9848826"
DOMO. Galería de arte contemporáneo.,art_gallery,http://www.domoartecontemporaneo.com/,1,,Sevilla,"37,3888058","−5,9898817"
Espacio Mondo,art_gallery,http://www.mondoespacio.com/,1,,Sevilla,"37,4023296","−5,9910886"
Galeria Haurie,art_gallery,http://www.galeriahaurie.com/,1,,Sevilla,"37,3873672","−5,9906035"
Galería Rafael Ortiz,art_gallery,https://www.galeriarafaelortiz.com/,1,,Sevilla,"37,3885043","−5,9896591"
Galeria Zunino,art_gallery,https://www.galeriazunino.com/,1,,Sevilla,"37,3897898","−5,9916696"
La Figurativa. espacio para el arte.,art_gallery,Ingen webbplats,1,,Sevilla,"37,3981589","−5,9992921"
La Galería Roja,art_gallery,http://www.lagaleriaroja.com/,1,,Sevilla,"37,400998","−5,993082"
Roldan Galeria de Arte,art_gallery,Ingen webbplats,1,,Sevilla,"37,39383","−5,997821"
Sala Patricio - Howden Art,art_gallery,https://bit.ly/2WsY072,1,,Sevilla,"37,36417","−5,98502"
Sorolla Art Gallery,art_gallery,https://www.sorolla.com/,1,,Sevilla,"37,39076","−5,9994069"
Studio Hache,art_gallery,Ingen webbplats,1,,Sevilla,"37,3828739","−5,9860151"
Taller de Orfebrería Marmolejo,art_gallery,http://www.orfebreriamarmolejo.es/,1,,Sevilla,"37,3912312","−5,9998429"
Taller del Pasaje,art_gallery,http://www.tallerdelpasaje.blogspot.com,1,,Sevilla,"37,39721","−5,9856879"
Tallista Antonio Jesús Morillo López,art_gallery,http://www.tallistaenmadera.com/,1,,Sevilla,"37,4261572","−5,9724864"
The RedCat Gallery,art_gallery,http://www.theredcatgallery.com/,1,,Sevilla,"37,3961701","−5,9837399"
