name,category,website,delete,comments,city,lat,lon
128db,mass_media,http://128db.fr/,2,,Eurometropole Strasbourg,"48,56328","7,76157"
Little Tokyo,video_game_store,http://www.little-tokyo-67.com/,,,Eurometropole Strasbourg,"48,5855088","7,7502364"
Micromania,video_game_store,https://www.micromania.fr/?utm_source=Yext&utm_medium=Facebook,,,Eurometropole Strasbourg,"48,5234537","7,6933656"
MSHOP Strasbourg,video_game_store,https://www.mshop.fr/,,,Eurometropole Strasbourg,"48,58507","7,74072"
A D e C O - Ostwald Proximité,community_services_non_profits,Ingen webbplats,2,,Eurometropole Strasbourg,"48,5492954","7,7096368"
A Maze In - Live Escape Game,arts_and_entertainment,http://www.a-maze-in.com/,2,,Eurometropole Strasbourg,"48,5846786","7,7423801"
A.S.P.A. - au service de la qualité de l'air,community_services_non_profits,http://www.atmo-alsace.net/,2,,Eurometropole Strasbourg,"48,608757","7,708712"
AA+  atelier d'architecture,architectural_designer,http://www.aaplus.fr/,2,,Eurometropole Strasbourg,"48,5909955","7,7432363"
AAEMS Représentation,community_services_non_profits,https://www.aaems.org/,2,,Eurometropole Strasbourg,"48,575723","7,743559"
Palais de la Musique et des Congres,venue_and_event_space,http://www.strasbourg-events.com,,,Eurometropole Strasbourg,"48,5975994","7,7581494"
L'Arrosoir,urban_farm,https://arrosoir.wixsite.com/associationarrosoir,,,Eurometropole Strasbourg,"48,568035","7,7530963"
Académie Rhénane,community_services_non_profits,https://academierhenane.info/,2,,Eurometropole Strasbourg,"48,588662","7,771696"
Ziprod Assoc',theatrical_productions ,http://www.ziprod.fr/,,,Eurometropole Strasbourg,"48,5572238","7,6439015"
Cie Le Théâtre de l'Oignon,theatre,http://loignon.eu/,,,Eurometropole Strasbourg,"48,5766398","7,729708"
Accès Culture,community_services_non_profits,https://www.acces-culture.fr/,2,,Eurometropole Strasbourg,"48,5558969","7,7459301"
Cie Pied de Biches,theatre,https://www.facebook.com/CompagniePieddeBiches/?locale=fr_FR,,,Eurometropole Strasbourg,"48,57892","7,75415"
Compagnie Les oreilles et la queue,theatre,http://www.compagnie-lesoreillesetlaqueue.fr/,,,Eurometropole Strasbourg,"48,5788597","7,7541181"
HOUPPZ Théâtre,theatre,http://www.houppz.fr/,,,Eurometropole Strasbourg,"48,5764206","7,7295394"
ACOARUS,community_services_non_profits,http://www.linosens.com/,2,,Eurometropole Strasbourg,"48,58005","7,746255"
Action Sociale Juive,community_services_non_profits,Ingen webbplats,2,"What do we do about services association, or rights defender structures ? ",Eurometropole Strasbourg,"48,5907233","7,756789"
IMPRO Alsace,theatre,https://improalsace.com/,,,Eurometropole Strasbourg,"48,5650944","7,7614662"
Improvisateurs Fight Club,theatre,Ingen webbplats,,,Eurometropole Strasbourg,"48,58951","7,73968"
Adie,community_services_non_profits,https://www.adie.org/,2,,Eurometropole Strasbourg,"48,5616653","7,7485872"
Adie Grand Est,community_services_non_profits,https://www.adie.org/nos-agences/#!/s?q=Grand%20Est%2C%20France,2,,Eurometropole Strasbourg,"48,58052","7,73174"
Adra Strasbourg,community_services_non_profits,http://adra.fr/,2,,Eurometropole Strasbourg,"48,58792","7,77097"
ADS Strasbourg,community_services_non_profits,http://amicale-sciences.fr/,2,,Eurometropole Strasbourg,"48,5802655","7,7691513"
AENE - A l'Ecoute de Nos Enfants,community_services_non_profits,http://www.aene.fr/,2,,Eurometropole Strasbourg,"48,66715","7,71345"
L'Illiade,theatre,http://www.illiade.com/,,,Eurometropole Strasbourg,"48,5286856","7,7073921"
La Maison Théâtre,theatre,https://www.lamaisontheatre.eu/,,,Eurometropole Strasbourg,"48,5754286","7,770241"
Aerodrome du Polygone,arts_and_entertainment,Ingen webbplats,2,,Eurometropole Strasbourg,"48,5560388","7,781396"
Aeses,community_services_non_profits,http://aeses.org/,2,,Eurometropole Strasbourg,"48,5831358","7,7729945"
AESIS : Association des Étudiants en Soins Infirmiers de Strasbourg,community_services_non_profits,Ingen webbplats,2,,Eurometropole Strasbourg,"48,5826143","7,7356966"
AETTO,community_services_non_profits,http://www.aetto.fr/,2,,Eurometropole Strasbourg,"48,56563","7,77058"
Afev Strasbourg,community_services_non_profits,http://rejoins.afev.org/,2,,Eurometropole Strasbourg,"48,5484302","7,7533381"
Afl67,community_services_non_profits,http://www.afl67.com/,2,,Eurometropole Strasbourg,"48,6036929","7,7177016"
La Revue Scoute,theatre,http://acte5.fr/,,,Eurometropole Strasbourg,"48,57176","7,76536"
La Scène de Strasbourg,theatre,http://www.lascene-strasbourg.fr/,,,Eurometropole Strasbourg,"48,560839","7,7453049"
Agence MW,architectural_designer,http://www.mw-architectes.fr/,2,,Eurometropole Strasbourg,"48,5905051","7,7487243"
