name,category,delete,website,comments,city,lat,lon
The Wedding I Dream,venue_and_event_space,2,http://www.theweddingidream.com/,wedding planner! 2,Rome,"41,85751607","12,56225149"
UMAlab,cultural_center,violin making,https://www.umalab.it/,violin making,Rome,"41,86474","12,59632"
Adc Nazionale,community_services_non_profits,2,http://www.adcnazionale.it/,they are accounters 2,Rome,"41,9309396","12,4443192"
A.I.R.C. 1971,community_services_non_profits,2,http://www.associazioneitalianaromaclub.it/,sports club 2,Rome,"41,833378","12,473514"
Aux Coop,theatre,service not theatre,http://www.auxcoop.it/,service not theatre,Rome,"41,91371","12,5187768"
Taodue SRL,arts_and_entertainment,production studio,http://www.taodue.it,production studio,Rome,"41,910959","12,470354"
A Sud,community_services_non_profits,"ok, journalist academy",http://asud.net/,"ok, journalist academy",Rome,"41,889534","12,52652"
ABC,community_services_non_profits,more political partecipation but somehow cultural,https://abcbenicomuni.it/,more political partecipation but somehow cultural,Rome,"41,932079","12,518371"
Portuense201,cultural_center,link to the ex-Vaccheria art project,http://portuense201.com/,link to the ex-Vaccheria art project,Rome,"41,8712822","12,4661637"
Good Things Produzioni,community_center,is a production studio,https://www.goodthingsproduzioni.it/,is a production studio,Rome,"41,8750852","12,520932"
A.S.D. Magic Training,community_services_non_profits,2,http://asdmagictraining.It/,club for runners 2,Rome,"41,88088","12,58483"
The Goose Club,dance_club,2,Ingen webbplats,closed 2,Rome,"41,9210767","12,503695"
Too Club,dance_club,2,http://www.tooclub.it,closed 2,Rome,"41,8760501","12,4855505"
WAREHOUSE,dance_club,2,http://www.whrome.com/,closed 2,Rome,"41,9694406","12,4991754"
Polo ex Fienile,cultural_center,Association July 21th real name,Ingen webbplats,Association July 21th real name,Rome,"41,8702529","12,6396615"
Nuovo IMAIE,arts_and_entertainment,association for artist,http://www.nuovoimaie.it/,association for artist,Rome,"41,9041727","12,495956"
Take Off Artist Management,arts_and_entertainment,agency for artists,http://www.takeoffartistmanagement.com/,agency for artists,Rome,"41,9195312","12,4636899"
Intermedia 86 - Agenzia spettacolo,theatre,actors' agency,http://www.intermedia86.it/,actors' agency,Rome,"41,92527","12,4350855"
La Conventicola degli Ultramoderni,dance_club,2,Ingen webbplats,,Rome,"41,8952054","12,5128402"
Storie Contemporanee - Arti visuali Scritture  Società,theatre,2,http://www.storiecontemporanee.wordpress.com/,,Rome,"41,8827225","12,4597157"
_ Malloni,fashion,2,Ingen webbplats,,Rome,"41,9059962","12,4800331"
"""Associazione Corale Benedetto Marcello""",community_services_non_profits,2,http://www.coralebenedettomarcello.it/,,Rome,"41,862894","12,4436924"
"""La Rockaforte"" - Cd, Dvd, Lp (nuovi e usati) - Poster - Videoteca",music_and_dvd_store,2,https://www.discogs.com/it/seller/FERRUCCIO65/profile,,Rome,"41,8692","12,44825"
⋆Tomas Milian Memory,cinema,2,https://youtube.com/c/Tomasmilianfans,,Rome,"41,8860978","12,4713697"
02A Studio,architectural_designer,2,http://www.02a.it/,,Rome,"41,8837626","12,5234569"
07am architetti,architectural_designer,2,http://www.07am.it/,,Rome,"41,8903892","12,5369598"
16bici,community_services_non_profits,2,http://ilgrandecarro.it/16bici,,Rome,"41,8752406","12,4667849"
19th Street Agency,fashion,2,Ingen webbplats,,Rome,"41,9113772","12,5452051"
1AX Architetti Associati,architectural_designer,2,http://www.1ax.it/,,Rome,"41,8952349","12,5137061"
24 Dvd Store,music_and_dvd_store,2,http://www.24dvdstore.it/store/,,Rome,"41,924387","12,413599"
27OFF Architects,architectural_designer,2,http://27offarchitects.com/,,Rome,"41,8928346","12,4790048"
2bu,community_services_non_profits,2,https://2bu.it/,,Rome,"41,9461798","12,5177574"
3c+t Capolei Cavalli Architetti Associati,architectural_designer,2,http://www.capoleicavalli.it/,,Rome,"41,9184488","12,4988647"
"3mq architecture - studio di architettura e interior design - Roma, Italia",architectural_designer,2,http://www.3mq.it/,,Rome,"41,9302051","12,467805"
4C Serigrafia,screen_printing_t_shirt_printing,2,http://www.4cserigrafia.it/,,Rome,"41,8276629","12,5887078"
4d architettura,architectural_designer,2,Ingen webbplats,,Rome,"41,9128097","12,4753568"
5 Suite Club,dance_club,2,http://5suiteclub.blogspot.com/,,Rome,"41,9029069","12,4750037"
6 Orme Odv,community_services_non_profits,2,http://www.6orme.org/,,Rome,"42,0046606","12,336644"
A Buon Diritto,community_services_non_profits,2,http://www.abuondiritto.it/,,Rome,"41,8661675","12,5456091"
"A Roma, Insieme",community_services_non_profits,2,https://linktr.ee/aromainsieme,,Rome,"41,892983","12,478646"
A-Head,community_services_non_profits,2,Ingen webbplats,,Rome,"41,9162956","12,5261316"
A.C. Subbuteo Club Libertas Roma,cultural_center,2,Ingen webbplats,,Rome,"41,86898","12,51955"
A.D.M.I. ( Associazione Dipendenti Ministero dell'Interno and Partners ),community_services_non_profits,2,http://www.admi.it/,,Rome,"41,9000648","12,4936658"
A.E.P.C.I.S. (Ass. Europ. Psicofisiologi Clinici per l'Integraz. Sociale),community_services_non_profits,2,https://www.artiterapie-psicofisiologia.it/contatti/,,Rome,"41,912607","12,5182752"
"A.F.Ma.L. ""Ass. con i Fatebenefratelli per i malati lontani""",community_services_non_profits,2,http://www.afmal.org/,,Rome,"41,962661","12,4482762"
A.G. Shop,fashion,2,http://agestetica.it/,,Rome,"41,89175","12,53631"
A.G.La.S.T.,community_services_non_profits,2,http://www.aglast.com/,,Rome,"41,91522","12,4569"
A.IT.A Onlus Regione Lazio,community_services_non_profits,2,http://www.aita-lazio.it/,,Rome,"41,8413555","12,5149013"
A.N.F.I. - Associazione Nazionale Familiaristi Italiani -,community_services_non_profits,2,https://www.associazionefamiliaristi.it/,,Rome,"41,9251222","12,4476315"
A.N.T.E.P. Associazione Nazionale Truccatori,community_services_non_profits,2,http://www.antep.it/,,Rome,"41,9001709","12,4371717"
A.S. Forniture Tappezzieri,arts_and_crafts,2,http://www.asfornituratappezzieri.com/,,Rome,"41,8647882","12,4721607"
A.S.D. Nuova Valle Aurelia,attractions_and_activities,2,Ingen webbplats,,Rome,"41,87591","12,54609"
A.S.D. Sport Village Vigne Nuove,arts_and_entertainment,2,Ingen webbplats,,Rome,"41,9648545","12,5342872"
A.SPPe.C. - Associazione Sociopsicopedagogica e Criminologica,community_services_non_profits,2,http://www.asppec.it/,,Rome,"41,9091704","12,5091591"
"A.V.I.S.N. Onlus Centro di ""U-Manoterapia"" NEW",community_services_non_profits,2,http://www.avisn.it/,,Rome,"41,828538","12,474476"
A&L Building Services,architectural_designer,2,http://www.aelbuildingservices.it/,,Rome,"41,9274907","12,6037271"
A&P architettura e paesaggio,architectural_designer,2,http://www.ap-project.it/,,Rome,"41,9137889","12,4528664"
A+5 Studio - Architettura e Design,architectural_designer,2,http://www.apiucinque.com/,,Rome,"41,9179811","12,5039713"
A1 Castelnuovo Di Porto -GRA,attractions_and_activities,2,Ingen webbplats,,Rome,"42,028757","12,5309903"
A2 Studio Architettura Arredamento,architectural_designer,2,http://www.a2architetturaarredamento.it/,,Rome,"41,8709743","12,5215045"
A2R2,architectural_designer,2,http://www.a2r2.it/contact/,,Rome,"41,8921819","12,3798237"
Abaco ,community_services_non_profits,2,http://www.abaco.info/,,Rome,"41,86391","12,55702"
Abbigliamento dwagea Roma GIO' 70,fashion,2,http://www.emmeshopping.it/,,Rome,"41,9089331","12,4579088"
abc italy,fashion,2,Ingen webbplats,,Rome,"41,8991496","12,5180397"
abilgraph 2.0,bookbinding,2,http://www.abilgraph.com/site/,,Rome,"41,9073719","12,5397996"
Abio Roma Odv,community_services_non_profits,2,http://www.abioroma.org/,,Rome,"41,909467","12,512227"
Abitare Roma S.r.l,architectural_designer,2,http://www.abitareroma.srl/,,Rome,"41,8553541","12,5637359"
About Rome - Best walking tours with Micaela,arts_and_entertainment,2,Ingen webbplats,,Rome,"41,8911286","12,4913692"
ACAI Acilia,community_services_non_profits,2,Ingen webbplats,,Rome,"41,76263","12,37135"
ACAR Aps - Associazione Conto Alla Rovescia,community_services_non_profits,2,http://www.acar-aps.org/,,Rome,"41,86148","12,44248"
Accademia Bordeaux,theatre,2,http://bit.ly/AccademiaBordeaux,,Rome,"41,8750745","12,5253091"
Accademia Del Bridge Roma,arts_and_entertainment,2,https://www.accademiadelbridge.com/,,Rome,"41,91964","12,4822"
