Name,Website,Latitude,Longitude,Plain City,City,Comments,"Suggested search term, if any"
Speicher 100,https://speicher100.org/,"51.53092898153104, 7.446306796054853",,Dortmund,Dortmund Bochum Gelsenkirchen,,
Langer August,https://www.langer-august.de/,"51.52786701706033, 7.4649276672191",,Dortmund,Dortmund Bochum Gelsenkirchen,,
Insane Urban Cowboys,https://insaneurbancowboys.de/,"51.4994261837769, 7.112408036657891",,Gelsenkirchen,Dortmund Bochum Gelsenkirchen,,
Lala.Ruhr,https://www.lala.ruhr/,"51.49869493205268, 7.112336167216852",,Gelsenkirchen,Dortmund Bochum Gelsenkirchen,,
Atelierhaus Alter Kiosk,https://www.atelierhaus-alterkiosk.de/,"51.524786826993804, 7.456100724889883",,Dortmund,Dortmund Bochum Gelsenkirchen,,
Blicke Filmfestival,https://blicke.org/,"51.47947820929381, 7.3207840807088225",,Bochum,Dortmund Bochum Gelsenkirchen,,
Pulsschlag Bürgerhaus Dorstfeld,https://pulsschlag-dorstfeld.de/,"51.502711341212965, 7.417662626736785",,Dortmund,Dortmund Bochum Gelsenkirchen,,
Kotburschi Kollektiv,https://kotburschi.de/,n/a,,Bochum,Dortmund Bochum Gelsenkirchen,,
Junkyard,https://junkyard.ruhr/,"51.53443324860473, 7.472200627644882",,Dortmund,Dortmund Bochum Gelsenkirchen,,
Wiesmann's Wattenscheid,https://wiesmanns-watwerk.de/,"51.48074926254037, 7.145235659813207",,Bochum,Dortmund Bochum Gelsenkirchen,,
Der Bunker e.V.,https://www.der-bunker.org/,"51.48774250440666, 7.305895280709458",,Bochum,Dortmund Bochum Gelsenkirchen,,
Schultenhof,https://awo-werkstaetten.de/arbeitsbereiche-der-wad/im-grunen/schultenhof/,"51.47920195675019, 7.449003991021114",,Dortmund,Dortmund Bochum Gelsenkirchen,,
Halfmannshof,https://www.gelsenkirchen.de/de/Kultur/Kultur-_und_Veranstaltungsorte/K%C3%BCnstlersiedlung_Halfmannshof/default.aspx,"51.4909929557518, 7.100224138380756",,Gelsenkirchen,Dortmund Bochum Gelsenkirchen,,
Hof Bergmann e.V.,https://derhof.eu/,"51.462249659890176, 7.26882432218086",,Bochum,Dortmund Bochum Gelsenkirchen,,
