Name,Website,lat,lon,City,Comments,"Suggested search term, if any",,
La hipoteca ,https://espaciolahipoteca.com/ ,40.392540,-3.719741,Madrid,"An accurate search term would be “independent_creative_spaces""/""espacios_creativos_independientes""",community_services_non_profits,Correcting lan lon format Liistamo,
Hiper house ,https://hyperhouse.art/ ,40.387481,-3.737753,Madrid,"An accurate search term would be “independent_creative_spaces""/""espacios_creativos_independientes""",community_services_non_profits,Correcting lan lon format Liistamo,
Marca Blanca ,https://marcablanca.press/,40.387100,-3.712590,Madrid,"An accurate search term would be “independent_creative_spaces""/""espacios_creativos_independientes""",community_services_non_profits,Correcting lan lon format Liistamo,
Centro de Acercamiento a lo Rural (CAR),https://car.inland.org/,40.432754,-3.654344,Madrid,"An accurate search term would be “independent_creative_spaces""/""espacios_creativos_independientes""",community_services_non_profits,Correcting lan lon format Liistamo,
Casa antilló,https://casantillon.com/art-space,40.382460,-3.728810,Madrid,"An accurate search term would be “independent_creative_spaces""/""espacios_creativos_independientes""",community_services_non_profits,Correcting lan lon format Liistamo,
CRUCE,https://crucecontemporaneo.org/,40.408385,-3.695941,Madrid,"An accurate search term would be “cultural_association""/""asociación cultural""",community_services_non_profits,Correcting lan lon format Liistamo,
Centro Social Okupado La Rosa,https://www.instagram.com/cso_larosa/,40.409411,-3.709735,Madrid,"An accurate search term would be “self-managed_social_center""/""centro social autogestionado""",community_services_non_profits,Correcting lan lon format Liistamo,
Esto es una plaza ,https://estaesunaplaza.blogspot.com/ ,40.407343,-3.698046,Madrid,"An accurate search term would be “community_garden""/""jardin_comunitario""",urban_farm,Correcting lan lon format Liistamo,
Almendro 3,https://diario.madrid.es/blog/notas-de-prensa/almendro-3-un-espacio-recuperado-para-los-vecinos-en-el-corazon-de-la-latina/,40.413275,-3.709154,Madrid,"An accurate search term would be “community_garden""/""jardin_comunitario""",community_services_non_profits,Correcting lan lon format Liistamo,
Casa Encendida,http://www.lacasaencendida.es/,40.405852,-3.699779,Madrid,-,community_center,Correcting lan lon format Liistamo,
La Villana,https://lavillana.org/,40.388787,-3.666623,Madrid,-,community_center,Correcting lan lon format Liistamo,
Artevecinal,https://artevecinal.wordpress.com/,,,Madrid,"No fixed geographical location; An better search term would be “cultural_association""/""asociación cultural""",community_services_non_profits,Correcting lan lon format Liistamo,Missing GEO
Cabaret Flotante,https://www.facebook.com/CabaretFlotante,40.419114,-3.730921,Madrid,"An accurate search term would be “cultural_association""/""asociación cultural""",community_services_non_profits,Correcting lan lon format Liistamo,
La Nave Boticher,https://www.instagram.com/lanavemadrid/,40.347312,-3.694515,Madrid,-,community_services_non_profits,Correcting lan lon format Liistamo,
Nave 73,https://nave73.es/,40.403204,-3.698742,Madrid,-,theatre ,Correcting lan lon format Liistamo,
El Instante Fundación ,https://madriddiferente.com/actividades/el-instante-fundacion/,40.403047,-3.699099,Madrid,-,community_center,Correcting lan lon format Liistamo,
Entrepatios,https://www.entrepatios.org/,40.380359,-3.693472,Madrid,-,community_services_non_profits,Correcting lan lon format Liistamo,
E.S.L.A. EKO,https://eslaeko.net/ ,40.391831,-3.731033,Madrid,"An accurate search term would be “self-managed_social_center""/""centro social autogestionado""",community_services_non_profits,Correcting lan lon format Liistamo,
Huerkarral,https://www.facebook.com/profile.php?id=100068421188962,40.499348,-3.699716,Madrid,"An accurate search term would be “community_garden""/""jardin_comunitario""",urban_farm,Correcting lan lon format Liistamo,
Centro Cultural El Pozo del tío Raimundo,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cultura-y-ocio/Direcciones-y-telefonos/Centro-Cultural-El-Pozo-del-tio-Raimundo-Puente-de-Vallecas-/?vgnextfmt=default&vgnextoid=add63d0b5e71c010VgnVCM1000000b205a0aRCRD&vgnextchannel=76f3efff228fe410VgnVCM2000000c205a0aRCRD,40.373637,-3.660073,Madrid,-,community_center,Correcting lan lon format Liistamo,
Parque vecinal Sputnik Vallecas,https://www.instagram.com/sputnik_vk/,40.400502,-3.663082,Madrid,"An accurate search term would be “community_garden""/""jardin_comunitario""",community_services_non_profits,Correcting lan lon format Liistamo,
Madrid Film Office,https://madridfilmoffice.com/localizaciones/,40.415887,-3.707406,Madrid,-,video_film_production,Correcting lan lon format Liistamo,
Espacio de creación IDYS - Instituto Do It YourSelf,https://www.institutodoityourself.org/,40.38128215631077,-3.665743523392219,Madrid,-,community_services_non_profits,Correcting lan lon format Liistamo,
Colectivo Kontracorriente ,https://www.facebook.com/kontracorriente.vallekas/?locale=es_ES,40.368152,-3.594600,Madrid,"An accurate search term would be “collectives""/""colectivos""",collectives,Correcting lan lon format Liistamo,
La Huerta de Tetuán,http://lahuertadetetuan.org/,40.463666,-3.702942,Madrid,-,urban_farm,Correcting lan lon format Liistamo,
Casa de Cultura y Participación ciudadana de Chamberí,https://casaculturachamberi.com,40.435574,-3.700107,Madrid,-,community_center,Correcting lan lon format Liistamo,
Asociación Vecinal Cuatro Caminos Tetuán,https://avccaminostetuan.blogspot.com/2019/04/la-calle-suena-en-primavera.html,40.462282,-3.694499,Madrid,-,community_services_non_profits,Correcting lan lon format Liistamo,
Bookcamping,https://bookcamping.cc/,,,Madrid,No geographical location;,community_services_non_profits,Correcting lan lon format Liistamo,Missing GEO
