Name,Website,Latitude,Longitude,City,Comments,"Suggested search term, if any"
Officine Zero,https://www.officinezero.it/,41.953332,12.520007,Rome,Re-use experience/ music school,
Casale Podere Rosa,https://casalepodererosa.org/,41.944256,12.563735,Rome,CSOA,
MAAM Museo,,41.893741,12.595342,Rome,"Active since 2009, the Museum of the Other and the Elsewhere has lived up to its name by showcasing invisible, non-institutionalized art along the historic Via Prenestina, through works, installations, and performances by emerging national and international artists.",
Angelo MAI,angelomai.org,41.878413,12.495934,Rome,"The Angelo Mai Collective is a group of theatre makers, musicians, and cultural and performing arts workers who, since 2004, have been bringing to life Rome’s Angelo Mai—a space for artistic experimentation and political activism.",
Cagne Sciolte,https://cagnesciolte.noblogs.org/,41.815462,12.430698,Rome,"Cagne Sciolte alla conquista dello spazio” is a feminist and transfeminist association active since 2013 in Rome’s Ostiense district. From the very beginning, it has organized political and social debates, as well as artistic and musical events, with the goal of challenging and opposing all forms of gender-based violence.",
BAM - Biblioteca Abusiva Metropolitana,,41.888976,12.563703,Rome,"A small building on Via dei Castani has been transformed into a collective space dedicated to critical knowledge. It hosts book presentations, documentary and film screenings, schoolbook exchanges, art and photography exhibitions, literary and poetry readings, and live music evenings. At any time, visitors can take or leave books on the shelves placed at the entrance. It’s worth stopping by even just to admire the exterior of the building, entirely covered in stencils and murals.",
Centrale Preneste Teatro,https://centraleprenesteteatro.it/,41.889259,12.534271,Rome,"**The social cooperative directs its work toward minors, young people, and those who care for them (parents, teachers, social sector professionals, and public institutions). Its mission is to: strengthen and deepen bonds among young people to encourage active participation in initiatives for growth and socialization; foster relationships between the different ethnic communities in the area; and improve the quality of intergenerational ties as well as the connection between families and the local community.",
Spazio Placebo,https://pigneto.it/luoghi/studio/spazio-placebo/,41.882621,12.537715,Rome,"A 50 m² venue, located between Pigneto and Torpignattara, designed as an ideal space for artistic creation and the promotion of cultural activities.",
Alcazar,https://www.alcazarlive.it/#/events,41.887388,12.472114,Rome,Live music and cinema,
SpazioMensa,"https://zero.eu/it/luoghi/214327-spaziomensa,roma/",41.938123,12.508696,Rome,"An artist-run space located within the former paper mill complex of Rome, CityLab971.",
