Name,Website,Latitude,Longitude,City,Comments,"Suggested search term, if any"
Viqui Lavique,https://laviquefashion.com,"37,3989821","−5,9846245",Sevilla,,Fashion
Peña Flamenca El Carbonerillo,desconocido,"37,4045650","−5,9906580",Sevilla,,Music Venue
BRECHA (colectivo/club),https://www.instagram.com/brechabrechabrecha/,"37,4086676","−5,9900390",Sevilla,,Music Venue
Sala X,https://lasalax.com,"37,4086676","−5,9900390",Sevilla,,Music Venue
La Carbonería de Parras (La Carbonería),desconocido,"37,4005293"," -5,9901127",Sevilla,Espacio cultural ,
Recoveko/Recoveco Market,https://recovecomarket.com,"37,3970035","−5,9855079",Sevilla,,Handcrafts /festival
Wud Taller,desconocido,"37,3979841","−5,9824606",Sevilla,,Handcrafts 
Corralón de Pasaje Mallol,desconocido,"37,3970035","−5,9855079",Sevilla,espacio con muchos talleres de artesanos y diversidad de usos,Creative Space / coworking?
Telita (taller),desconocido,"37,3970035","−5,9855079",Sevilla,,Handcrafts / Fashion
debaga,https://www.debaga.es,"37,4004841","−5,9887083",Sevilla,,Fashion
Huerto del Rey Moro,https://www.huertodelreymoro.org/donde-esta/,"37,3962010","−5,9848640",Sevilla,,Community Garden
Pulmón Verde (Arrayán/Divina Pastora),desconocido,"37,3988860","−5,9901080",Sevilla,,Community Garden
Harta Teatro (compañía),https://hartateatro.es,,,Sevilla,,Theathre
Espacio Vacío (Corralones del Pelícano),https://www.instagram.com/espaciovacio_pelicano/?hl=es,"37,3972500","−5,9856230",Sevilla,,Circus
Assejazz (Espacio Assejazz),https://socios.assejazz.com,"37,4070250","−5,9638920",Sevilla,,Music Venue
Corralones del Pelícano,desconocido,"37,3971960","−5,9853150",Sevilla,espacio con muchos talleres de artesanos y diversidad de usos,Creative Space / coworking?
Gallo Rojo (Factoría de creación),https://gallorojo.es," 37,3954210","−5,9917556",Sevilla,,Music Venue
Rompemoldes,https://rompemoldes.com,"37,3995020","−5,9880640",Sevilla,espacio con muchos talleres de artesanos y diversidad de usos,
t11 (Espacio Creativo – Fábrica de Sombreros),https://t11.es,"37,3968230","−5,9886240",Sevilla,,
Espacio Furia,https://www.instagram.com/espacio_furia/?hl=es,"37,4022063","−5,9739436",Sevilla,,
Asociación Cultural Gitana Vencedores,https://acgvencedores.com (si cae),"37,3609529","−5,9714613",Sevilla,,Community service
Lanónima (en Tramallol),https://lanonima.org,"37,3978203"," -5,9852294",Sevilla,,Cultural Space
Cartuja Qanat,https://cartujaqanat.com,"37,4098422","−6,0042020",Sevilla,,
Fábrica de Artillería (Centro Magallanes),https://icas.sevilla.org/espacios/real-fabrica-de-artilleria,"37,3839751","−5,9818008",Sevilla,Big and public,Cultural Space
Zë Studio,https://zestudio.es,"37,3896497","−5,9797878",Sevilla,,
Biblioteca del CEIP Huerta de santa Marina,https://recetasurbanas.net/,"37,3987946","−5,9865504",Sevilla,,Library
