Name,Website,Latitude,Longitude,ORG City,City,Comments,"Suggested search term, if any"
Zénith,https://www.zenith-strasbourg.fr/,48.592259,7.687484,ECKBOLSHEIM,Eurométropole de Strasbourg,,venue_and_event_space
C.A.J Molodoï,https://www.molodoi.net/,48.57576,7.728973,STRASBOURG,Eurométropole de Strasbourg,,theaters_and_performance_venue
La Pokop,https://lapokop.fr,48.575607,7.763846,STRASBOURG,Eurométropole de Strasbourg,,theaters_and_performance_venue
Stimultania,https://www.stimultania.org/,48.586412,7.738789,STRASBOURG,Eurométropole de Strasbourg,,photography_store_and_services
Orchestre Universitaire de Strasbourg,https://ous.unistra.fr/,48.5834,7.743,STRASBOURG,Eurométropole de Strasbourg,,musical_band_orchestras_and_symphonies 
Espace Django,https://www.espacedjango.eu/,48.546201,7.767371,STRASBOURG,Eurométropole de Strasbourg,,music_venue
La Grenze,https://www.lagrenze.eu/,48.588871,7.736248,STRASBOURG,Eurométropole de Strasbourg,,music_venue
LAAB - L'amer à boire,https://www.laab.bar/,48.579015,7.742489,STRASBOURG,Eurométropole de Strasbourg,,music_venue
Le Diamant d'Or,https://azqs.com/lediamantdor/,48.562139,7.739674,STRASBOURG,Eurométropole de Strasbourg,,music_venue
Salle du cercle,https://www.strasbourg.eu/lieu/-/entity/sig/914_CUL_65/la-salle-du-cercle,48.615547,7.754264,BISCHHEIM,Eurométropole de Strasbourg,,music_venue
Salle du cercle,https://billetterie.bischheim.alsace/ ,48.615547,7.754264,BISCHHEIM,Eurométropole de Strasbourg,,music_venue
Conservatoire - Cité de la Musique et de la Danse,https://www.conservatoire.strasbourg.eu/,48.574329,7.755824,STRASBOURG,Eurométropole de Strasbourg,,music_school
Kawati Studios,https://www.kawatistudios.com/,48.569399,7.78787,STRASBOURG,Eurométropole de Strasbourg,,music_production
La Ruche - Studio-HTP,https://www.instagram.com/laruche_studio_htp/,48.594307,7.700374,STRASBOURG,Eurométropole de Strasbourg,,music_production
Le vaisseau,https://www.levaisseau.com/,48.572722,7.77173,STRASBOURG,Eurométropole de Strasbourg,,museum
Le récit,https://www.lerecit.fr/,48.586213,7.738778,STRASBOURG,Eurométropole de Strasbourg,,media_school
El Insa Banda,https://www.facebook.com/elinsabanda/?locale=fr_FR,48.581704,7.764656,STRASBOURG,Eurométropole de Strasbourg,,marching band
Fanfare FEIS,https://www.facebook.com/Fanfare.FEIS/?locale=fr_FR,48.577644,7.740259,STRASBOURG,Eurométropole de Strasbourg,,marching band
Stras'Boum Boum,https://www.sciencespo-strasbourg.fr/de/la-vie-a-lecole/nos-associations-etudiantes/loisirs-2,48.58392,7.74553,STRASBOURG,Eurométropole de Strasbourg,,marching band
Cybergrange,https://www.cybergrange.eu/home,48.547241,7.769034,STRASBOURG,Eurométropole de Strasbourg,,makerspace
Fabcafé Strasbourg,https://fabcafe.com/strasbourg/,48.574022,7.763854,STRASBOURG,Eurométropole de Strasbourg,,makerspace
La CabAnne des créateurs,https://www.la-cabanne-des-createurs.com/,48.611804,7.742269,SCHILTIGHEIM,Eurométropole de Strasbourg,,makerspace
La fabrique,https://lafab.org/46558-2/,48.578537,7.710025,STRASBOURG,Eurométropole de Strasbourg,,makerspace
Médiathèque Frida Kahlo,https://www.mediatheques.strasbourg.eu/ ,48.607189,7.747158,SCHILTIGHEIM,Eurométropole de Strasbourg,,library
Atelier Pleine forme,https://www.instagram.com/atelier.pleineforme/,48.573864,7.789625,STRASBOURG,Eurométropole de Strasbourg,,graphic_designer
Bureau d'intervention graphique,https://www.instagram.com/bureau.intervention.graphique/?hl=fr,48.573865,7.789626,STRASBOURG,Eurométropole de Strasbourg,,graphic_designer
Festival Européen du Film Fantastique,https://strasbourgfestival.com/fr/,48.582612,7.745925,STRASBOURG,Eurométropole de Strasbourg,,film_festivals_and_organizations
La Finca,https://www.facebook.com/lalafinca2.0# ,48.5811,7.748304,STRASBOURG,Eurométropole de Strasbourg,,dj_service
Karmen Camina,http://karmen-camina.eu/,48.581219,7.758703,STRASBOURG,Eurométropole de Strasbourg,,dance_club
Les herbes folles,https://boutiquelesherbesfolles.fr/,48.583588,7.74223,STRASBOURG,Eurométropole de Strasbourg,,craft_shop
Libre objet,https://libreobjet.com/,48.577871,7.710173,STRASBOURG,Eurométropole de Strasbourg,,craft_shop
Little Nuage,https://littlenuage.fr/,48.581533,7.741127,STRASBOURG,Eurométropole de Strasbourg,,craft_shop
WYRD,https://galerie-wyrd.com/,48.578915,7.755244,STRASBOURG,Eurométropole de Strasbourg,,craft_shop
20 000 Lieux sous Grüber,https://www.helloasso.com/associations/20000-lieues-sous-gruber/adhesions/adhesion,48.578720,7.710573,STRASBOURG,Eurométropole de Strasbourg,,community_services_non_profits
Accélérateur de particules,https://www.accelerateurdeparticules.net/,48.592228,7.718451,STRASBOURG,Eurométropole de Strasbourg,,community_services_non_profits
Bidouillothèque,https://www.bidouillotheque.com/,48.573091,7.760233,STRASBOURG,Eurométropole de Strasbourg,,community_services_non_profits
Calima,https://www.facebook.com/AssociationCalimaAlsace/?locale=fr_FR,48.54844,7.753268,STRASBOURG,Eurométropole de Strasbourg,,community_services_non_profits
Colors urban art,https://www.colors-art.eu/,48.575395,7.787431,STRASBOURG,Eurométropole de Strasbourg,,community_services_non_profits
Contre-temps festival,https://www.contre-temps.net/,48.578945,7.754108,STRASBOURG,Eurométropole de Strasbourg,,community_services_non_profits
La maison Mimir,https://azqs.com/maison-mimir/,48.582932,7.759381,STRASBOURG,Eurométropole de Strasbourg,,community_services_non_profits
La plage digitale,https://www.laplagedigitale.fr/,48.576881,7.755281,STRASBOURG,Eurométropole de Strasbourg,coworking asso,community_services_non_profits
La Tour Merveilleuse du Schloessel,https://www.facebook.com/tourmerveilleuse/?locale=fr_FR,48.576542,7.714387,STRASBOURG,Eurométropole de Strasbourg,,community_services_non_profits
Le P'tit Labo,https://www.facebook.com/p/Ptit-Labo-100093652667496/,48.566489,7.725163,STRASBOURG,Eurométropole de Strasbourg,,community_services_non_profits
Pelpass ,https://pelpass.net/,48.576164,7.72935,STRASBOURG,Eurométropole de Strasbourg,,community_services_non_profits
Tôt ou t'art,https://totoutart.org/,48.576592,7.728829,STRASBOURG,Eurométropole de Strasbourg,,community_services_non_profits
Boîte à livres # 10050,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-10050,48.57642,7.778984,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 1068,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-1068,48.590245,7.744358,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 10968,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-10968,48.601049,7.708386,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 11246,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-11246,48.585755,7.762045,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 11549,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-11549,48.576498,7.714337,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 12366,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-12366,48.59756,7.758163,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 13048,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-13048,48.600958,7.78175,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 13101,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-13101,48.580212,7.704193,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 14450,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-14450,48.584134,7.73635,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 15388,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-15388,48.588968,7.747989,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 1572,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-1572,48.568055,7.703507,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 15945,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-15945,48.584904,7.765099,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 1735,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-1735,48.583778,7.741856,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 1802,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-1802,48.570167,7.765975,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 183,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-183,48.588664,7.778148,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 2468,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-2468,48.572269,7.719163,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 4109,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-4109,48.577126,7.700022,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 4627,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-4627,48.578564,7.772038,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
Boîte à livres # 4726,https://www.boites-a-livres.fr/ville/strasbourg/67200/boite-4726,48.584402,7.738719,STRASBOURG,Eurométropole de Strasbourg,,community book boxes 
