name,category,website,delete,comments,city,lat,lon
mijabo film,animation_studio,https://patronite.pl/mborucki,,,Gdańsk,54.4948495,18.5378149
Dom Pełen Energii,architect,https://dompelenenergii.pl/,2,,Gdańsk,54.4780764,18.5368879
Projekt Pełen Energii Trójmiasto,architect,http://www.projektpelenenergii.pl/,2,,Gdańsk,54.4687944,18.4982692
Projekt Pełen Energii Trójmiasto,architect,http://www.projektpelenenergii.pl/,2,,Gdańsk,54.4780764,18.5368879
010 Architekci,architectural_designer,https://www.instagram.com/010architekci/,2,,Gdańsk,54.38965,18.61744
1504 Architekci,architectural_designer,http://www.1504.pl/,2,,Gdańsk,54.3501497,18.5939718
3 linie,architectural_designer,http://www.3linie.com/,2,,Gdańsk,54.4154244,18.5633393
3 M. Pracownia Architektoniczna,architectural_designer,http://www.bes-archmed.com/,2,,Gdańsk,54.3605745,18.6457955
3MA Pracownia Architektoniczna,architectural_designer,http://3mastudio.pl/,2,,Gdańsk,54.52078,18.53565
A-Concept,architectural_designer,http://www.a-concept.pl/,2,,Gdańsk,54.3527976,18.6578436
A-Plan Bis,architectural_designer,http://aplan.pl/,2,,Gdańsk,54.4295943,18.5611296
ABC Łazienki | Gdansk,architectural_designer,Ingen webbplats,2,,Gdańsk,54.3888371,18.5906563
Agata Brach Architekt,architectural_designer,http://www.ab-architekt.pl/,2,,Gdańsk,54.4665289,18.5088201
Agnieszka Słoniewska Architekt,architectural_designer,http://architekt-agnieszka-sloniewska.pl/,2,,Gdańsk,54.350679,18.5681933
Andervision Sp. z o.o.,architectural_designer,http://www.andervision.pl/,2,,Gdańsk,54.4928332,18.5383551
ANIEA,architectural_designer,https://aniea.pl/,2,,Gdańsk,54.4781166,18.5191987
APCube,architectural_designer,http://www.apcube.pl/,2,,Gdańsk,54.3221655,18.5076135
APP Pure A,architectural_designer,https://app-pure-a-architekci.business.site/,2,,Gdańsk,54.3893451,18.5813561
Appetite Studio Anna Stawkowska,architectural_designer,Ingen webbplats,2,,Gdańsk,54.3208451,18.575721
Arch-Deco,architectural_designer,http://archdeco.pl/,2,,Gdańsk,54.5209719,18.5334713
Arch-Profi,architectural_designer,http://www.arch-profi.pl/,2,,Gdańsk,54.3987006,18.5820186
Archamo,architectural_designer,http://www.archamo.pl/,2,,Gdańsk,54.5283016,18.4907121
Archander,architectural_designer,http://www.archander.pl/,2,,Gdańsk,54.4638269,18.4954148
Archiplan,architectural_designer,http://archiplan.com.pl/,2,,Gdańsk,54.5212404,18.5389316
ARCHIRO Sp. z o.o.,architectural_designer,http://www.archiro.pl/,2,,Gdańsk,54.5114144,18.5422257
architecto aranżacja wnętrz,architectural_designer,http://architecto.pl/,2,,Gdańsk,54.3738399,18.6098072
Architectonica,architectural_designer,http://www.architectonica.eu/,2,,Gdańsk,54.431784,18.558067
Architekt Marcin Sech,architectural_designer,https://www.sech-architekci.com/,2,,Gdańsk,54.3409869,18.6554769
