Adress,Hemsida,Kategori,Namn
Säbyhallsvägen 30,,Bibliotek,Salems bibliotek
Gustavslundsvägen 26,,Bibliotek,Alviks bibliotek
Hägerstensvägen 133,,Bibliotek,Aspuddens bibliotek
Lagaplan 6,,Bibliotek,Bagarmossens bibliotek
Björkhagsplan 6,,Bibliotek,Björkhagens bibliotek
Blackebergsplan 5,,Bibliotek,Blackebergs bibliotek
Bredängstorget 20,,Bibliotek,Bredängs bibliotek
Klädesvägen 12,,Bibliotek,Brommaplans bibliotek
Dalens allé 10,,Bibliotek,Enskede bibliotek
Farstagången 8,,Bibliotek,Farsta bibliotek
Fruängsgången 1,,Bibliotek,Fruängens bibliotek
Gröndalsvägen 36,,Bibliotek,Gröndals bibliotek
Gubbängstorget 108,,Bibliotek,Gubbängens bibliotek
Hagsätra torg 32,,Bibliotek,Hagsätra bibliotek
Sveavägen 73,,Bibliotek,Stadsbiblioteket
Hässelby Torg 10,,Bibliotek,Hässelby Gårds bibliotek
Lövkojsgränd 12,,Bibliotek,Hässelby villastads bibliotek
Högdalsgången 10,,Bibliotek,Högdalens bibliotek
Sankt Eriksgatan 33,,Bibliotek,Internationella Biblioteket
Kista Galleria,,Bibliotek,Kista bibliotek
Sankt Eriksgatan 33,,Bibliotek,Kungsholmen
Ljusslingan 26,,Bibliotek,Luma bibliotek
Bobergsgatan 81-83,,Bibliotek,Norra Djurgårdsstadens bibliotek
Skårbygränd 1,,Bibliotek,Rinkeby bibliotek
Skarpnäcks allé 25,,Bibliotek,Skarpnäcks bibliotek
Bredholmsgatan 4,,Bibliotek,Skärholmens bibliotek
Sköndalsvägen 91,,Bibliotek,Sköndals bibliotek
Värsta Allé 12,,Bibliotek,Spånga bibliotek
Essingestråket 24,,Bibliotek,Stora Essingens bibliotek
Grev Turegatan 6,,Bibliotek,Sture bibliotek
Artemisgatan 30a,,Bibliotek,Hjorthagen
Hornsbruksgatan 25,,Bibliotek,Hornstulls bibliotek
Edvard Griegsgången 9,,Bibliotek,Husby bibliotek
Telefonplan 1,,Bibliotek,Telefonplans bibliotek
Hagstråket 13,,Bibliotek,Tensta bibliotek
Medborgarplatsen 2,,Bibliotek,Tranströmerbiblioteket
Vittangigatan 24,,Bibliotek,Vällingby bibliotek
Årsta torg 5,,Bibliotek,Årsta bibliotek
Älvsjö stationsgata 21,,Bibliotek,Älvsjö bibliotek
Gamla Huddingevägen 425,,Bibliotek,Örby bibliotek
Östbergatorget 14,,Bibliotek,Östberga bibliotek
Valhallavägen 146,,Bibliotek,Östermalms bibliotek
Bryggargatan 12A,,Bibliotek,
Drottninggatan 95B,,Bibliotek,
