Adress,Hemsida,Kategori,Namn,NormalizedAdress,lat,lon,geocode_status,geocode_display_name,OSMWebsite,WebsiteFinal,OSMEmail,EmailFinal
Säbyhallsvägen 30,,Bibliotek,Salems bibliotek,"Säbyhallsvägen 30, Stockholm",59.2021815,17.7683573,ok,"Säbyhallsvägen, Salem Centrum, Salem, Salems kommun, Stockholms län, 144 30, Sverige",,,,
Gustavslundsvägen 26,,Bibliotek,Alviks bibliotek,"Gustavslundsvägen 26, Stockholm",59.3328103,17.9821701,ok,"Bastard Burgers, 26, Gustavslundsvägen, Alvik, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 167 51, Sverige",,,,
Hägerstensvägen 133,,Bibliotek,Aspuddens bibliotek,Hägerstensvägen 133,59.3067815,18.0197291,ok,"Hägerstensvägen, Nybohov, Liljeholmen, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 117 63, Sverige",,,,
Lagaplan 6,,Bibliotek,Bagarmossens bibliotek,"Lagaplan 6, Stockholm",59.2772904,18.1330737,ok,"Bagarmossens kyrka, 6, Lagaplan, Bagarmossen, Skarpnäcks stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 128 45, Sverige",,,,
Björkhagsplan 6,,Bibliotek,Björkhagens bibliotek,"Björkhagsplan 6, Stockholm",59.2910762,18.1166967,ok,"Björkhagsplan, Björkhagen, Skarpnäcks stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 121 52, Sverige",,,,
Blackebergsplan 5,,Bibliotek,Blackebergs bibliotek,"Blackebergsplan 5, Stockholm",59.3477785,17.8831336,ok,"Salong Klippnytt, 5, Blackebergsplan, Blackebergs centrum, Blackeberg, Bromma stadsdelsområde, Stockholms kommun, Stockholms län, 168 48, Sverige",,,,
Bredängstorget 20,,Bibliotek,Bredängs bibliotek,"Bredängstorget 20, Stockholm",59.2946414,17.9340005,ok,"Bredängs bibliotek, 20, Bredängstorget, Bredäng, Skärholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 127 32, Sverige",,,,
Klädesvägen 12,,Bibliotek,Brommaplans bibliotek,"Klädesvägen 12, Stockholm",59.3385721,17.9394968,ok,"Coop Brommaplan, 12, Klädesvägen, Bromma, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 168 76, Sverige",,,,
Dalens allé 10,,Bibliotek,Enskede bibliotek,"Dalens allé 10, Stockholm",59.2852323,18.0941551,ok,"Sandsborgsbadet, 10, Dalens allé, Dalen Centrum, Gamla Enskede, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 121 31, Sverige",,,,
Farstagången 8,,Bibliotek,Farsta bibliotek,Farstagången 8,59.2426516,18.0897818,ok,"Kulturskolan, 8, Farstagången, Farsta centrum, Farsta, Farsta stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 123 33, Sverige",,,,
Fruängsgången 1,,Bibliotek,Fruängens bibliotek,"Fruängsgången 1, Stockholm",59.285614,17.9635524,ok,"Fruängsgången, Fruängen, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 129 52, Sverige",,,,
Gröndalsvägen 36,,Bibliotek,Gröndals bibliotek,"Gröndalsvägen 36, Stockholm",59.3160868,18.0119397,ok,"36, Gröndalsvägen, Gröndal, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 117 67, Sverige",,,,
Gubbängstorget 108,,Bibliotek,Gubbängens bibliotek,"Gubbängstorget 108, Stockholm",59.2628191,18.084156,ok,"Gubbängstorget, Gubbängen, Farsta stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, Sverige",,,,
Hagsätra torg 32,,Bibliotek,Hagsätra bibliotek,"Hagsätra torg 32, Stockholm",59.2619518,18.0144566,ok,"Kamuchas, 32, Hagsätra Torg, Hagsätra, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 124 73, Sverige",,,,
Sveavägen 73,,Bibliotek,Stadsbiblioteket,"Sveavägen 73, Stockholm",59.3434409,18.0551499,ok,"73, Sveavägen, Sibirien, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 50, Sverige",,,,
