source_file,row,name,city,category,website,lat_field,lon_field,pair_example,delete,reason
Attachment to Template 6 WP2_Trencin.xlsx - export.csv,57,"Happyband Orchester - Clover Media, s.r.o.",Trenčín,musical_band_orchestras,https://www.happyband.sk/,48.897509,18. 059828,,,could not parse numbers in lat/lon fields
Attachment to Template 6 WP2_Trencin.xlsx - export.csv,71,Kultúrne stredisko Záblatie,Trenčín,community_center,https://trencin.sk/pre-obcanov/kultura-a-volny-cas/kulturne-strediska/,48.8962199790922,. 17.997334219790332,,,could not parse numbers in lat/lon fields
Copy of Template 6 attachment gdańsk.xlsx - export (1).csv,6,MORZE.art,Gdańsk,,https://www.instagram.com/morze.art/,54.47394796313825,18.557262753605475,,,outside boundary
Copy of Template 6 attachment gdańsk.xlsx - export (1).csv,24,Fala Nowej Kultury,Gdańsk,,https://falanowejkultury.pl,54.52177415000484,18.543967911278035,,,outside boundary
Copy of Template 6 attachment gdańsk.xlsx - export (1).csv,27,Piana Artspace,Gdańsk,arts_and_crafts,https://www.instagram.com/piana.artspace/,54.5143948179095,18.5417651829936,,,outside boundary
Copy of Template 6 attachment gdańsk.xlsx - export (1).csv,35,Klubokawiarnia Langfuhr,Gdańsk,,https://www.instagram.com/lang.fuhr/,,,,,no coordinate fields found
Copy of Template 6 attachment gdańsk.xlsx - export (1).csv,36,Drukarnia Cafe,Gdańsk,,https://www.instagram.com/drukarniacafe/?hl=pl,,,,,no coordinate fields found
Copy of Template 6 attachment gdańsk.xlsx - export (1).csv,37,Luis Cafe,Gdańsk,,https://www.instagram.com/cafeluis_gdansk/,,,,,no coordinate fields found
Copy of Template 6 attachment gdańsk.xlsx - export (1).csv,38,Atelier Biscuit ceramika,Gdańsk,,https://www.atelierbiscuit.art,,,,,no coordinate fields found
Copy of Template 6 attachment gdańsk.xlsx - export (1).csv,39,Lepiej ceramika,Gdańsk,,https://www.instagram.com/lepiej_ceramika/,,,,,no coordinate fields found
Copy of Template 6 attachment gdańsk.xlsx - export (1).csv,40,Wela Ont ceramika,Gdańsk,,https://welaont.pl,,,,,no coordinate fields found
