source_file,row,name,city,category,website,lat_field,lon_field,pair_example,delete,reason
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,3,2BK arkitekter,Stockholm,architectural_designer,http://www.2bka.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,4,300kg konst,Stockholm,arts_and_crafts,https://www.300kg.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,6,A Typo Gallery,Stockholm,art_gallery,https://www.instagram.com/atypogallery/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,7,A6sound,Stockholm,music_production,http://a6sound.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,8,ABBA The Museum,Stockholm,art_museum,https://www.abbathemuseum.com/en,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,9,ABBA The Museum Stockholm,Stockholm,museum,https://abbathemuseum.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,10,Above Gallery,Stockholm,art_gallery,http://www.abovegallery.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,11,Abstrakt Konst,Stockholm,art_gallery,http://www.abstraktkonst.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,12,Accelerator,Stockholm,art_gallery,http://www.acceleratorsu.art/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,13,Actors Studio Stockholm,Stockholm,theatre,http://www.actorsstudiostockholm.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,14,Aderton Antikvariat,Stockholm,bookstore,http://www.aderton.se,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,15,Afrika Jazz Club,Stockholm,jazz_and_blues,https://www.facebook.com/AfrikaJazzClub/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,16,AG arkitekter,Stockholm,architectural_designer,http://www.agarkitekter.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,17,Ahlgren Edblom Olsson Wiklander Arkitekter,Stockholm,architectural_designer,http://www.aeow.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,18,Ahlqvist & Almqvist Arkitekter,Stockholm,architectural_designer,http://www.ahlqvist-almqvist.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,19,Ahrbom Arkitektkontor,Stockholm,architectural_designer,http://www.aop.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,20,AIX Arkitekter,Stockholm,architectural_designer,http://www.aix.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,21,AJ Studio & Gallery,Stockholm,art_gallery,http://www.ajstudioandgallery.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,22,Aktivitetshuset Tuben,Stockholm,community_services_non_profits,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,23,Albert France-Lanord Architects,Stockholm,architectural_designer,http://www.af-la.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,24,Alexander Bitar History,Stockholm,art_gallery,http://www.AlexanderBitarHistory.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,25,Alhanko Academy of Ballet,Stockholm,dance_school,https://alhankoballet.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,26,ALIS - Administration av Litterära rättigheter I Sverige,Stockholm,community_services_non_profits,http://alis.org/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,27,All Things Live Sweden,Stockholm,theatrical_productions,https://allthingslive.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,28,AllArtNow,Stockholm,art_gallery,http://www.allartnow.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,29,Alma Arkitekter,Stockholm,architectural_designer,http://www.almaarkitekter.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,30,AloCubano Dance School,Stockholm,dance_school,http://www.alocubano.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,31,Altersten Art Connection,Stockholm,art_gallery,http://www.alterstenart.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,32,Alviks Kulturhus,Stockholm,community_center,http://www.alvikskulturhus.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,33,Alvikstorpet,Stockholm,arts_and_crafts,https://alvikstorpet.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,34,Andetag,Stockholm,art_museum,http://andetag.museum/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,35,Andra Jazz,Stockholm,music_and_dvd_store,http://Andrajazz.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,36,Andreas Martin-Löf Arkitekter,Stockholm,architectural_designer,https://www.amlstudios.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,37,Andréhn-Schiptjenko,Stockholm,art_gallery,http://www.andrehn-schiptjenko.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,38,Anna Bohman Gallery,Stockholm,art_gallery,https://www.annabohmangallery.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,39,Anna Lindh Biblioteket,Stockholm,library,http://www.annalindhbiblioteket.se,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,40,Anna Lindhagens museum,Stockholm,museum,http://wp.stigbergetsborgarrum.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,41,Anna Schröder Kisel Keramik,Stockholm,arts_and_crafts,http://www.kiselkeramik.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,42,Annexet,Stockholm,music_venue,https://www.stockholmlive.com/vara-arenor/annexet,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,43,Antikvariat August,Stockholm,bookstore,http://www.antikvariataugust.se,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,44,Antikvariat GodBok,Stockholm,bookstore,http://www.bokborsen.se/?storeid=4127,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,45,Antikvariat Hundörat,Stockholm,bookstore,http://www.hundorat.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,46,Antikvariat Morris,Stockholm,bookstore,http://www.antikvariatmorris.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,47,Antikvariat Strix,Stockholm,bookstore,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,48,Antikvariat Verklighetsflykt,Stockholm,bookstore,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,49,Antonucci smycken,Stockholm,arts_and_crafts,https://www.instagram.com/antonuccismycken/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,50,Apotekarsocieteten,Stockholm,museum,https://apotekarsocieteten.museum/museisamlingar-och-bibliotek/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,51,Appell Arkitektkontor,Stockholm,architectural_designer,http://www.appellarkitektkontor.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,52,APU Network,Stockholm,community_services_non_profits,http://www.apunetwork.net/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,53,Arameiska-Syrianska Föreningen i Norsborg,Stockholm,community_services_non_profits,http://www.sauf.nu/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,54,Arbetarnas Bildningsforbund,Stockholm,community_services_non_profits,http://www.abf.se,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,55,Archus,Stockholm,architectural_designer,http://www.archus.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,56,Arcobaleno Musikskola-Music School,Stockholm,community_services_non_profits,http://www.arcobaleno.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,57,Arenagruppen,Stockholm,community_services_non_profits,http://www.arenagruppen.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,58,Arenaslöjd,Stockholm,circus,https://scenkonstportalen.riksteatern.se/produktion/14083,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,59,Argo Arkitekter,Stockholm,architectural_designer,http://www.argoarkitekter.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,60,Ariels Skugga,Stockholm,theatre,https://magictheatrecompany.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,61,ArkDes,Stockholm,museum,http://www.arkdes.se/,,,,,praesidia != 1
