name,website,praesidia,category,lat,lon,city
1200 - talets rum,http://www.jannakreuter.com/,1,art_gallery,"59,325121","18,071992",Stockholm
2BK arkitekter,http://www.2bka.se/,,architectural_designer,"59,3174458","18,0631584",Stockholm
300kg konst,https://www.300kg.se/,,arts_and_crafts,"59,3346469","17,9424681",Stockholm
5emman,https://Ingen webbplats,1,community_services_non_profits,"59,29755","18,01771",Stockholm
A Typo Gallery,https://www.instagram.com/atypogallery/,,art_gallery,"59,3413255","18,0316649",Stockholm
A6sound,http://a6sound.se/,,music_production,"59,31015","18,08098",Stockholm
ABBA The Museum,https://www.abbathemuseum.com/en,,art_museum,"59,324918","18,0969661",Stockholm
ABBA The Museum Stockholm,https://abbathemuseum.com/,,museum,"59,316473","18,098838",Stockholm
Above Gallery,http://www.abovegallery.se/,,art_gallery,"59,3414311","18,0415254",Stockholm
Abstrakt Konst,http://www.abstraktkonst.com/,,art_gallery,"59,3365359","18,0308525",Stockholm
Accelerator,http://www.acceleratorsu.art/,,art_gallery,"59,3659902","18,0561006",Stockholm
Actors Studio Stockholm,http://www.actorsstudiostockholm.com/,,theatre,"59,3246469","18,0713471",Stockholm
Aderton Antikvariat,http://www.aderton.se,,bookstore,"59,3421686","18,0514473",Stockholm
Afrika Jazz Club,https://www.facebook.com/AfrikaJazzClub/,,jazz_and_blues,"59,3414558","18,059657",Stockholm
AG arkitekter,http://www.agarkitekter.se/,,architectural_designer,"59,3376478","18,0127796",Stockholm
Ahlgren Edblom Olsson Wiklander Arkitekter,http://www.aeow.se/,,architectural_designer,"59,316186","18,081187",Stockholm
Ahlqvist & Almqvist Arkitekter,http://www.ahlqvist-almqvist.se/,,architectural_designer,"59,31933","18,0698",Stockholm
Ahrbom Arkitektkontor,http://www.aop.se/,,architectural_designer,"59,322375","18,0740587",Stockholm
AIX Arkitekter,http://www.aix.se/,,architectural_designer,"59,3457997","18,037908",Stockholm
AJ Studio & Gallery,http://www.ajstudioandgallery.com/,,art_gallery,"59,3458449","18,0644268",Stockholm
Aktivitetshuset Tuben,https://Ingen webbplats,,community_services_non_profits,"59,2432039","18,0936191",Stockholm
Albert France-Lanord Architects,http://www.af-la.com/,,architectural_designer,"59,3433184","18,0619504",Stockholm
Alexander Bitar History,http://www.AlexanderBitarHistory.com/,,art_gallery,"59,3326395","18,0778063",Stockholm
Alhanko Academy of Ballet,https://alhankoballet.se/,,dance_school,"59,3384958","18,0831053",Stockholm
ALIS - Administration av Litterära rättigheter I Sverige,http://alis.org/,,community_services_non_profits,"59,3384862","18,0564976",Stockholm
All Things Live Sweden,https://allthingslive.se/,,theatrical_productions,"59,3437356","18,0697759",Stockholm
AllArtNow,http://www.allartnow.com/,,art_gallery,"59,3539224","18,0960898",Stockholm
Alma Arkitekter,http://www.almaarkitekter.se/,,architectural_designer,"59,320014","18,0550629",Stockholm
AloCubano Dance School,http://www.alocubano.se/,,dance_school,"59,34168","18,04929",Stockholm
Altersten Art Connection,http://www.alterstenart.com/,,art_gallery,"59,3074","18,07846",Stockholm
Alviks Kulturhus,http://www.alvikskulturhus.se/,,community_center,"59,3331675","17,978708",Stockholm
Alvikstorpet,https://alvikstorpet.se/,,arts_and_crafts,"59,332505","17,9769487",Stockholm
Andetag,http://andetag.museum/,,art_museum,"59,3355683","18,0641842",Stockholm
Andra Jazz,http://Andrajazz.se/,,music_and_dvd_store,"59,3440537","18,0358737",Stockholm
Andreas Martin-Löf Arkitekter,https://www.amlstudios.com/,,architectural_designer,"59,3269121","18,0416013",Stockholm
Andréhn-Schiptjenko,http://www.andrehn-schiptjenko.com/,,art_gallery,"59,3370256","18,0817068",Stockholm
Anna Bohman Gallery,https://www.annabohmangallery.com/,,art_gallery,"59,3429568","18,0686366",Stockholm
Anna Lindh Biblioteket,http://www.annalindhbiblioteket.se,,library,"59,3490972","18,069425",Stockholm
Anna Lindhagens museum,http://wp.stigbergetsborgarrum.se/,,museum,"59,31722","18,08708",Stockholm
Anna Schröder Kisel Keramik,http://www.kiselkeramik.se/,,arts_and_crafts,"59,3151703","18,0552101",Stockholm
Annexet,https://www.stockholmlive.com/vara-arenor/annexet,,music_venue,"59,2939797","18,0815209",Stockholm
Antikvariat August,http://www.antikvariataugust.se,,bookstore,"59,3384968","18,056637",Stockholm
Antikvariat GodBok,http://www.bokborsen.se/?storeid=4127,,bookstore,"59,2589366","18,0949298",Stockholm
Antikvariat Hundörat,http://www.hundorat.se/,,bookstore,"59,3153052","18,0759446",Stockholm
Antikvariat Morris,http://www.antikvariatmorris.com/,,bookstore,"59,3283829","18,0472435",Stockholm
Antikvariat Strix,https://Ingen webbplats,,bookstore,"59,3317266","18,0445881",Stockholm
Antikvariat Verklighetsflykt,https://Ingen webbplats,,bookstore,"59,3151935","18,0841443",Stockholm
Antonucci smycken,https://www.instagram.com/antonuccismycken/,,arts_and_crafts,"59,3176449","18,0575601",Stockholm
Apotekarsocieteten,https://apotekarsocieteten.museum/museisamlingar-och-bibliotek/,,museum,"59,336817","18,05545",Stockholm
Appell Arkitektkontor,http://www.appellarkitektkontor.se/,,architectural_designer,"59,316837","18,070932",Stockholm
APU Network,http://www.apunetwork.net/,,community_services_non_profits,"59,3270381","18,0427104",Stockholm
Arameiska-Syrianska Föreningen i Norsborg,http://www.sauf.nu/,,community_services_non_profits,"59,33233","18,06293",Stockholm
Arbetarnas Bildningsforbund,http://www.abf.se,,community_services_non_profits,"59,336032","18,061195",Stockholm
Archus,http://www.archus.se/,,architectural_designer,"59,331088","18,0658",Stockholm
Arcobaleno Musikskola-Music School,http://www.arcobaleno.se/,,community_services_non_profits,"59,3379501","18,0953546",Stockholm
Arenagruppen,http://www.arenagruppen.se/,,community_services_non_profits,"59,3365715","18,057921",Stockholm
Arenaslöjd,https://scenkonstportalen.riksteatern.se/produktion/14083,,circus,"59,31579","18,06742",Stockholm
Argo Arkitekter,http://www.argoarkitekter.se/,,architectural_designer,"59,318025","18,0702996",Stockholm
Ariels Skugga,https://magictheatrecompany.com/,,theatre,"59,32475","18,06931",Stockholm
ArkDes,http://www.arkdes.se/,,museum,"59,3258423","18,0848214",Stockholm
"Arkitekt Mats Åstedt, sar/msa",https://www.houzz.se/experter/arkitekter/mats-aastedt-arkitekt-sar-msa-pfvwse-pf~312468870,,architectural_designer,"59,293508","18,108361",Stockholm
